Pump Start Time,Pump Stop Time,Idle Voltage (V),Idle Current (mA),Loaded Voltage (V),Loaded Current (mA),PCB Temp (*C)
2025-05-22T22:00:00,2025-05-22T22:00:30,12.74,2,13.05,3,21.5
2025-05-23T04:00:00,2025-05-23T04:00:30,12.73,2,13.04,3,21.25
2025-05-23T10:00:00,2025-05-23T10:00:30,12.73,2,13.04,3,20.5
2025-05-23T16:00:00,2025-05-23T16:00:30,12.69,2,11.96,3439,14.5
2025-05-23T22:00:00,2025-05-23T22:00:30,12.7,2,11.98,3394,15
2025-05-24T04:00:00,2025-05-24T04:00:30,12.7,2,11.98,3469,14.75
2025-05-24T10:00:00,2025-05-24T10:00:30,12.69,2,11.99,3420,14.75
2025-05-24T16:00:00,2025-05-24T16:00:30,12.68,2,11.98,3442,14.5
2025-05-24T22:00:00,2025-05-24T22:00:30,12.67,1,11.98,3437,14.75
2025-05-25T04:00:00,2025-05-25T04:00:30,12.67,1,11.97,3464,14.5
2025-05-25T10:00:00,2025-05-25T10:00:30,12.66,2,11.97,3392,14.75
2025-05-25T16:00:00,2025-05-25T16:00:30,12.65,2,11.96,3429,14.5
2025-05-25T22:00:00,2025-05-25T22:00:30,12.64,1,11.97,3498,15
2025-05-26T04:00:00,2025-05-26T04:00:30,12.63,2,11.95,3438,14.5
2025-05-26T10:00:00,2025-05-26T10:00:30,12.62,1,11.95,3460,15
2025-05-26T16:00:00,2025-05-26T16:00:30,12.61,1,11.94,3480,14.75
2025-05-26T22:00:00,2025-05-26T22:00:30,12.6,1,11.94,3427,15.5
2025-05-27T04:00:00,2025-05-27T04:00:30,12.59,1,11.93,3474,15.75
2025-05-27T10:00:00,2025-05-27T10:00:30,12.58,1,11.92,3440,15.5
2025-05-27T16:00:00,2025-05-27T16:00:30,12.57,2,11.91,3437,15.5
2025-05-27T22:00:00,2025-05-27T22:00:30,12.57,1,11.92,3442,16
2025-05-28T04:00:00,2025-05-28T04:00:30,12.55,1,11.91,3379,15.75
2025-05-28T10:00:00,2025-05-28T10:00:30,12.54,1,11.9,3418,15.5
2025-05-28T16:00:00,2025-05-28T16:00:30,12.53,1,11.89,3440,15.5
2025-05-28T22:00:00,2025-05-28T22:00:30,12.52,1,11.89,3427,15.75
2025-05-29T04:00:00,2025-05-29T04:00:30,12.51,1,11.88,3428,15.5
2025-05-29T10:00:00,2025-05-29T10:00:30,12.5,1,11.87,3393,15.25
2025-05-29T16:00:00,2025-05-29T16:00:30,12.49,1,11.86,3459,15.5
2025-05-29T22:00:00,2025-05-29T22:00:30,12.48,1,11.86,3405,15.25
2025-05-30T04:00:00,2025-05-30T04:00:30,12.47,1,11.85,3400,15.75
2025-05-30T10:00:00,2025-05-30T10:00:30,12.46,1,11.84,3438,15.5
2025-05-30T16:00:00,2025-05-30T16:00:30,12.45,1,11.83,3443,15.75
2025-05-30T22:00:00,2025-05-30T22:00:30,12.44,1,11.83,3439,16.25
2025-05-31T04:00:00,2025-05-31T04:00:30,12.43,1,11.82,3375,16.5
2025-05-31T10:00:00,2025-05-31T10:00:30,12.42,1,11.82,3428,16.25
2025-05-31T16:00:00,2025-05-31T16:00:30,12.41,1,11.8,3408,15.75
2025-05-31T22:00:00,2025-05-31T22:00:30,12.4,1,11.78,3400,15.5
2025-06-01T04:00:00,2025-06-01T04:00:30,12.39,1,11.78,3393,15.5
2025-06-01T10:00:00,2025-06-01T10:00:30,12.37,1,11.77,3394,15.25
2025-06-01T16:00:00,2025-06-01T16:00:30,12.37,1,11.76,3374,15.5
2025-06-01T22:00:00,2025-06-01T22:00:30,12.35,0,11.75,3418,15
2025-06-02T04:00:00,2025-06-02T04:00:30,12.35,1,11.74,3335,15.5
2025-06-02T10:00:00,2025-06-02T10:00:30,12.33,0,11.73,3358,15
2025-06-02T16:00:00,2025-06-02T16:00:30,12.33,1,11.72,3351,15.5
2025-06-02T22:00:00,2025-06-02T22:00:30,12.32,1,11.72,3368,15.75
2025-06-03T04:00:00,2025-06-03T04:00:30,12.31,0,11.71,3424,16.25
2025-06-03T10:00:00,2025-06-03T10:00:30,12.3,0,11.7,3357,15.75
2025-06-03T16:00:00,2025-06-03T16:00:30,12.29,0,11.7,3396,16
2025-06-03T22:00:00,2025-06-03T22:00:30,12.28,0,11.68,3346,16
2025-06-04T04:00:00,2025-06-04T04:00:30,12.28,0,11.7,3423,17.25
2025-06-04T10:00:00,2025-06-04T10:00:30,12.27,0,11.68,3376,16.5
2025-06-04T16:00:00,2025-06-04T16:00:30,12.26,0,11.67,3401,16.5
2025-06-04T22:00:00,2025-06-04T22:00:30,12.25,0,11.68,3394,17.5
2025-06-05T04:00:00,2025-06-05T04:00:30,12.24,0,11.67,3428,17.5
2025-06-05T10:00:00,2025-06-05T10:00:30,12.23,0,11.65,3372,16.75
2025-06-05T16:00:00,2025-06-05T16:00:30,12.24,0,12.55,2,25.5
2025-06-05T22:00:00,2025-06-05T22:00:30,12.24,0,12.55,1,22
2025-06-06T04:00:00,2025-06-06T04:00:30,12.23,0,12.55,2,20.75
2025-06-06T10:00:00,2025-06-06T10:00:30,12.23,0,12.54,2,20.75
2025-06-06T16:00:00,2025-06-06T16:00:30,12.23,0,12.55,2,22.25
Logging halted by user,,,,,,
