#,Date-Time (UTC Standard Time),Temperature   (°C),Light   (lux),Started,Button Down,Button Up,Host Connected,Stopped,End of File
1,05/23/2025 21:00:00,14.84,558.40,Logged,,,,,
2,05/23/2025 21:05:00,14.88,1450.24,,,,,,
3,05/23/2025 21:10:00,14.84,1136.32,,,,,,
4,05/23/2025 21:15:00,14.88,957.76,,,,,,
5,05/23/2025 21:20:00,14.84,1043.52,,,,,,
6,05/23/2025 21:25:00,14.88,1164.80,,,,,,
7,05/23/2025 21:30:00,14.84,725.44,,,,,,
8,05/23/2025 21:35:00,14.84,1335.04,,,,,,
9,05/23/2025 21:40:00,14.84,490.72,,,,,,
10,05/23/2025 21:45:00,14.80,504.16,,,,,,
11,05/23/2025 21:50:00,14.80,494.88,,,,,,
12,05/23/2025 21:55:00,14.71,364.00,,,,,,
13,05/23/2025 22:00:00,14.67,302.40,,,,,,
14,05/23/2025 22:05:00,14.71,328.48,,,,,,
15,05/23/2025 22:10:00,14.67,369.12,,,,,,
16,05/23/2025 22:15:00,14.67,374.88,,,,,,
17,05/23/2025 22:20:00,14.67,427.52,,,,,,
18,05/23/2025 22:25:00,14.67,308.24,,,,,,
19,05/23/2025 22:30:00,14.67,500.80,,,,,,
20,05/23/2025 22:35:00,14.58,478.88,,,,,,
21,05/23/2025 22:40:00,14.58,340.48,,,,,,
22,05/23/2025 22:45:00,14.63,315.04,,,,,,
23,05/23/2025 22:50:00,14.50,234.80,,,,,,
24,05/23/2025 22:55:00,14.50,272.88,,,,,,
25,05/23/2025 23:00:00,14.54,185.76,,,,,,
26,05/23/2025 23:05:00,14.50,157.80,,,,,,
27,05/23/2025 23:10:00,14.50,135.00,,,,,,
28,05/23/2025 23:15:00,14.54,133.32,,,,,,
29,05/23/2025 23:20:00,14.54,151.92,,,,,,
30,05/23/2025 23:25:00,14.50,235.68,,,,,,
31,05/23/2025 23:30:00,14.54,198.40,,,,,,
32,05/23/2025 23:35:00,14.54,117.32,,,,,,
33,05/23/2025 23:40:00,14.58,86.04,,,,,,
34,05/23/2025 23:45:00,14.58,51.50,,,,,,
35,05/23/2025 23:50:00,14.58,30.77,,,,,,
36,05/23/2025 23:55:00,14.58,21.51,,,,,,
37,05/24/2025 00:00:00,14.58,12.41,,,,,,
38,05/24/2025 00:05:00,14.58,12.65,,,,,,
39,05/24/2025 00:10:00,14.58,7.15,,,,,,
40,05/24/2025 00:15:00,14.58,4.20,,,,,,
41,05/24/2025 00:20:00,14.58,2.10,,,,,,
42,05/24/2025 00:25:00,14.58,1.05,,,,,,
43,05/24/2025 00:30:00,14.54,0.00,,,,,,
44,05/24/2025 00:35:00,14.58,0.00,,,,,,
45,05/24/2025 00:40:00,14.58,0.00,,,,,,
46,05/24/2025 00:45:00,14.58,0.00,,,,,,
47,05/24/2025 00:50:00,14.54,0.00,,,,,,
48,05/24/2025 00:55:00,14.58,0.00,,,,,,
49,05/24/2025 01:00:00,14.54,0.00,,,,,,
50,05/24/2025 01:05:00,14.58,0.00,,,,,,
51,05/24/2025 01:10:00,14.54,0.00,,,,,,
52,05/24/2025 01:15:00,14.54,0.00,,,,,,
53,05/24/2025 01:20:00,14.54,0.00,,,,,,
54,05/24/2025 01:25:00,14.54,0.00,,,,,,
55,05/24/2025 01:30:00,14.50,0.00,,,,,,
