Pump Start Time,Pump Stop Time,Idle Voltage (V),Idle Current (mA),Loaded Voltage (V),Loaded Current (mA),PCB Temp (*C)
2025-07-15T22:00:00,2025-07-15T22:00:30,12.93,3,13.24,4,21.5
2025-07-16T04:00:00,2025-07-16T04:00:30,12.92,3,13.23,4,20.5
2025-07-16T10:00:00,2025-07-16T10:00:30,12.92,3,13.23,4,22.5
2025-07-16T16:00:00,2025-07-16T16:00:30,12.94,3,12.33,3721,24.75
2025-07-16T22:00:00,2025-07-16T22:00:30,12.92,3,12.24,3710,22.25
2025-07-17T04:00:00,2025-07-17T04:00:30,12.91,3,12.24,3703,21.5
2025-07-17T10:00:00,2025-07-17T10:00:30,12.9,3,12.24,3670,22.25
2025-07-17T16:00:00,2025-07-17T16:00:30,12.89,3,12.23,3693,22
2025-07-17T22:00:00,2025-07-17T22:00:30,12.88,2,12.24,3690,23.25
2025-07-18T04:00:00,2025-07-18T04:00:30,12.87,3,12.23,3649,22.25
2025-07-18T10:00:00,2025-07-18T10:00:30,12.86,3,12.22,3674,22
2025-07-18T16:00:00,2025-07-18T16:00:30,12.85,2,12.21,3666,22
2025-07-18T22:00:00,2025-07-18T22:00:30,12.83,2,12.19,3620,21.25
2025-07-19T04:00:00,2025-07-19T04:00:30,12.82,2,12.19,3669,21
2025-07-19T10:00:00,2025-07-19T10:00:30,12.81,2,12.18,3648,21.5
2025-07-19T16:00:00,2025-07-19T16:00:30,12.8,2,12.16,3625,20.75
2025-07-19T22:00:00,2025-07-19T22:00:30,12.79,3,12.16,3642,21
2025-07-20T04:00:00,2025-07-20T04:00:30,12.78,2,12.15,3658,20.75
2025-07-20T10:00:00,2025-07-20T10:00:30,12.77,2,12.15,3590,21.5
2025-07-20T16:00:00,2025-07-20T16:00:30,12.76,2,12.13,3603,20.5
2025-07-20T22:00:00,2025-07-20T22:00:30,12.75,2,12.13,3569,21
2025-07-21T04:00:00,2025-07-21T04:00:30,12.73,2,12.11,3625,20.25
2025-07-21T10:00:00,2025-07-21T10:00:30,12.73,2,12.13,3593,22.5
2025-07-21T16:00:00,2025-07-21T16:00:30,12.71,2,12.09,3593,20.75
2025-07-21T22:00:00,2025-07-21T22:00:30,12.71,2,12.09,3580,20.75
2025-07-22T04:00:00,2025-07-22T04:00:30,12.69,2,12.08,3585,20.25
2025-07-22T10:00:00,2025-07-22T10:00:30,12.69,2,12.1,3582,23
2025-07-22T16:00:00,2025-07-22T16:00:30,12.67,2,12.08,3607,21.5
2025-07-22T22:00:00,2025-07-22T22:00:30,12.67,2,12.08,3561,22.5
2025-07-23T04:00:00,2025-07-23T04:00:30,12.65,2,12.07,3562,22.25
2025-07-23T10:00:00,2025-07-23T10:00:30,12.65,2,12.06,3558,23
2025-07-23T16:00:00,2025-07-23T16:00:30,12.63,2,12.05,3596,21.75
2025-07-23T22:00:00,2025-07-23T22:00:30,12.62,2,12.04,3547,22.5
2025-07-24T04:00:00,2025-07-24T04:00:30,12.61,2,12.04,3570,22.5
2025-07-24T10:00:00,2025-07-24T10:00:30,12.6,2,12.03,3568,23
2025-07-24T16:00:00,2025-07-24T16:00:30,12.59,2,12.02,3562,22.5
