Pump Start Time,Pump Stop Time,Idle Voltage (V),Idle Current (mA),Loaded Voltage (V),Loaded Current (mA),PCB Temp (*C)
2025-07-15T22:00:00,2025-07-15T22:00:30,12.81,3,13.12,4,22
2025-07-16T04:00:00,2025-07-16T04:00:30,12.81,3,13.12,4,21
2025-07-16T10:00:00,2025-07-16T10:00:30,12.81,3,13.12,4,22.75
2025-07-16T16:00:00,2025-07-16T16:00:30,12.83,3,12.27,3736,22.25
2025-07-16T22:00:00,2025-07-16T22:00:30,12.79,2,12.16,3747,18.25
2025-07-17T04:00:00,2025-07-17T04:00:30,12.79,3,12.16,3672,18
2025-07-17T10:00:00,2025-07-17T10:00:30,12.78,3,12.16,3729,18.25
2025-07-17T16:00:00,2025-07-17T16:00:30,12.77,3,12.15,3745,18
2025-07-17T22:00:00,2025-07-17T22:00:30,12.77,3,12.15,3697,18.25
2025-07-18T04:00:00,2025-07-18T04:00:30,12.76,3,12.15,3750,17.75
2025-07-18T10:00:00,2025-07-18T10:00:30,12.75,2,12.15,3707,18.25
2025-07-18T16:00:00,2025-07-18T16:00:30,12.74,2,12.15,3707,18
2025-07-18T22:00:00,2025-07-18T22:00:30,12.73,2,12.14,3739,18.25
2025-07-19T04:00:00,2025-07-19T04:00:30,12.72,2,12.14,3703,18
2025-07-19T10:00:00,2025-07-19T10:00:30,12.71,2,12.14,3664,18.5
2025-07-19T16:00:00,2025-07-19T16:00:30,12.71,2,12.13,3702,18.25
2025-07-19T22:00:00,2025-07-19T22:00:30,12.69,2,12.13,3655,18.5
2025-07-20T04:00:00,2025-07-20T04:00:30,12.69,2,12.13,3642,18.25
2025-07-20T10:00:00,2025-07-20T10:00:30,12.68,2,12.12,3680,18.5
2025-07-20T16:00:00,2025-07-20T16:00:30,12.67,2,12.12,3695,18.25
2025-07-20T22:00:00,2025-07-20T22:00:30,12.66,2,12.11,3721,18.5
2025-07-21T04:00:00,2025-07-21T04:00:30,12.65,2,12.1,3671,18.25
2025-07-21T10:00:00,2025-07-21T10:00:30,12.64,2,12.1,3684,18.75
2025-07-21T16:00:00,2025-07-21T16:00:30,12.63,2,12.1,3694,18.25
2025-07-21T22:00:00,2025-07-21T22:00:30,12.62,2,12.09,3638,18.75
2025-07-22T04:00:00,2025-07-22T04:00:30,12.61,2,12.08,3610,18.25
2025-07-22T10:00:00,2025-07-22T10:00:30,12.61,2,12.07,3647,18.75
2025-07-22T16:00:00,2025-07-22T16:00:30,12.59,2,12.07,3676,18.25
2025-07-22T22:00:00,2025-07-22T22:00:30,12.59,2,12.07,3643,19.5
2025-07-23T04:00:00,2025-07-23T04:00:30,12.58,2,12.06,3648,18.5
2025-07-23T10:00:00,2025-07-23T10:00:30,12.57,2,12.06,3657,19.75
2025-07-23T16:00:00,2025-07-23T16:00:30,12.56,2,12.05,3608,18.5
2025-07-23T22:00:00,2025-07-23T22:00:30,12.55,2,12.05,3611,19.25
2025-07-24T04:00:00,2025-07-24T04:00:30,12.54,2,12.03,3622,18.75
2025-07-24T10:00:00,2025-07-24T10:00:30,12.53,2,12.03,3581,19.5
2025-07-24T16:00:00,2025-07-24T16:00:30,12.53,2,12.02,3565,18.75
2025-07-24T22:00:00,2025-07-24T22:00:30,12.52,2,12.02,3690,19.5
2025-07-25T04:00:00,2025-07-25T04:00:30,12.51,2,12.01,3574,18.75
2025-07-25T10:00:00,2025-07-25T10:00:30,12.5,2,12.01,3585,19.75
2025-07-25T16:00:00,2025-07-25T16:00:30,12.49,2,12,3609,19.25
2025-07-25T22:00:00,2025-07-25T22:00:30,12.49,2,11.99,3598,19.75
2025-07-26T04:00:00,2025-07-26T04:00:30,12.48,2,11.99,3593,19.25
2025-07-26T10:00:00,2025-07-26T10:00:30,12.47,2,11.99,3627,19.75
2025-07-26T16:00:00,2025-07-26T16:00:30,12.46,2,11.98,3627,19.5
2025-07-26T22:00:00,2025-07-26T22:00:30,12.45,2,11.97,3549,20
2025-07-27T04:00:00,2025-07-27T04:00:30,12.44,1,11.97,3580,19.5
2025-07-27T10:00:00,2025-07-27T10:00:30,12.43,2,11.96,3539,20
2025-07-27T16:00:00,2025-07-27T16:00:30,12.43,2,11.95,3559,19.75
2025-07-27T22:00:00,2025-07-27T22:00:30,12.42,2,11.94,3584,20
2025-07-28T04:00:00,2025-07-28T04:00:30,12.41,1,11.93,3579,19.75
2025-07-28T10:00:00,2025-07-28T10:00:30,12.4,2,11.93,3538,20
2025-07-28T16:00:00,2025-07-28T16:00:30,12.39,1,11.92,3534,19.75
2025-07-28T22:00:00,2025-07-28T22:00:30,12.38,1,11.92,3481,20
2025-07-29T04:00:00,2025-07-29T04:00:30,12.37,1,11.91,3541,19.75
2025-07-29T10:00:00,2025-07-29T10:00:30,12.36,1,11.91,3537,20.25
2025-07-29T16:00:00,2025-07-29T16:00:30,12.35,1,11.9,3503,19.75
2025-07-29T22:00:00,2025-07-29T22:00:30,12.35,1,11.89,3515,20.25
2025-07-30T04:00:00,2025-07-30T04:00:30,12.33,1,11.88,3489,19.75
2025-07-30T10:00:00,2025-07-30T10:00:30,12.33,1,11.87,3526,20.25
2025-07-30T16:00:00,2025-07-30T16:00:30,12.32,1,11.87,3489,19.75
2025-07-30T22:00:00,2025-07-30T22:00:30,12.31,1,11.86,3489,20.25
2025-07-31T04:00:00,2025-07-31T04:00:30,12.3,1,11.86,3537,20
2025-07-31T10:00:00,2025-07-31T10:00:30,12.29,1,11.85,3510,20.25
2025-07-31T16:00:00,2025-07-31T16:00:30,12.29,1,11.84,3495,20
2025-07-31T22:00:00,2025-07-31T22:00:30,12.28,1,11.84,3513,20.25
2025-08-01T04:00:00,2025-08-01T04:00:30,12.27,1,11.83,3573,20
2025-08-01T10:00:00,2025-08-01T10:00:30,12.27,1,11.83,3521,20.75
2025-08-01T16:00:00,2025-08-01T16:00:30,12.26,1,11.83,3524,21.25
2025-08-01T22:00:00,2025-08-01T22:00:30,12.25,1,11.83,3526,22
2025-08-02T04:00:00,2025-08-02T04:00:30,12.25,1,11.83,3515,21.5
2025-08-02T10:00:00,2025-08-02T10:00:30,12.24,1,11.82,3478,22
2025-08-02T16:00:00,2025-08-02T16:00:30,12.23,1,11.81,3546,21.5
2025-08-02T22:00:00,2025-08-02T22:00:30,12.22,1,11.81,3491,21.75
2025-08-03T04:00:00,2025-08-03T04:00:30,12.21,1,11.79,3499,21.5
2025-08-03T10:00:00,2025-08-03T10:00:30,12.21,1,11.79,3515,21.75
