Pump Start Time,Pump Stop Time,Idle Voltage (V),Idle Current (mA),Loaded Voltage (V),Loaded Current (mA),PCB Temp (*C)
2025-05-06T22:00:00,2025-05-06T22:00:30,12.62,2,12.93,3,21.25
2025-05-07T04:00:00,2025-05-07T04:00:30,12.62,2,12.93,3,21
2025-05-07T10:00:00,2025-05-07T10:00:30,12.61,2,12.93,3,20.75
2025-05-07T16:00:00,2025-05-07T16:00:30,12.61,2,12.92,4,21
2025-05-07T22:00:00,2025-05-07T22:00:30,12.63,2,12.93,3,24.5
2025-05-08T04:00:00,2025-05-08T04:00:30,12.59,2,12.9,3,15.25
2025-05-08T10:00:00,2025-05-08T10:00:30,12.58,2,12.88,3,13.75
2025-05-08T16:00:00,2025-05-08T16:00:30,12.58,2,12.04,3592,15
2025-05-08T22:00:00,2025-05-08T22:00:30,12.59,2,12.03,3477,15
2025-05-09T04:00:00,2025-05-09T04:00:30,12.59,2,12.04,3520,15.25
2025-05-09T10:00:00,2025-05-09T10:00:30,12.58,2,12.03,3480,14.5
2025-05-09T16:00:00,2025-05-09T16:00:30,12.57,2,12.03,3522,14.25
2025-05-09T22:00:00,2025-05-09T22:00:30,12.56,2,12.01,3475,13.5
2025-05-10T04:00:00,2025-05-10T04:00:30,12.55,2,12.01,3573,14
2025-05-10T10:00:00,2025-05-10T10:00:30,12.54,2,12,3532,13.5
2025-05-10T16:00:00,2025-05-10T16:00:30,12.53,2,11.99,3508,13.75
2025-05-10T22:00:00,2025-05-10T22:00:30,12.53,2,11.99,3505,13.75
2025-05-11T04:00:00,2025-05-11T04:00:30,12.52,2,11.98,3577,14
2025-05-11T10:00:00,2025-05-11T10:00:30,12.51,2,11.98,3586,13.75
2025-05-11T16:00:00,2025-05-11T16:00:30,12.5,2,11.97,3608,14.25
2025-05-11T22:00:00,2025-05-11T22:00:30,12.5,2,11.98,3564,14.25
2025-05-12T04:00:00,2025-05-12T04:00:30,12.49,2,11.97,3634,14.75
2025-05-12T10:00:00,2025-05-12T10:00:30,12.48,2,11.97,3636,14.75
2025-05-12T16:00:00,2025-05-12T16:00:30,12.47,1,11.97,3567,15
2025-05-12T22:00:00,2025-05-12T22:00:30,12.47,1,11.96,3550,14.5
2025-05-13T04:00:00,2025-05-13T04:00:30,12.46,2,11.97,3657,15.75
2025-05-13T10:00:00,2025-05-13T10:00:30,12.45,1,11.96,3586,15
2025-05-13T16:00:00,2025-05-13T16:00:30,12.45,2,11.96,3553,15.5
2025-05-13T22:00:00,2025-05-13T22:00:30,12.43,1,11.95,3581,15
2025-05-14T04:00:00,2025-05-14T04:00:30,12.43,1,11.95,3528,15
2025-05-14T10:00:00,2025-05-14T10:00:30,12.42,1,11.94,3480,14.75
2025-05-14T16:00:00,2025-05-14T16:00:30,12.41,1,11.93,3426,15
2025-05-14T22:00:00,2025-05-14T22:00:30,12.4,1,11.92,3460,14.75
2025-05-15T04:00:00,2025-05-15T04:00:30,12.39,1,11.91,3467,15
2025-05-15T10:00:00,2025-05-15T10:00:30,12.39,1,11.9,3520,14.75
2025-05-15T16:00:00,2025-05-15T16:00:30,12.38,1,11.91,3478,15
2025-05-15T22:00:00,2025-05-15T22:00:30,12.37,1,11.89,3588,15
2025-05-16T04:00:00,2025-05-16T04:00:30,12.36,1,11.89,3544,15.5
2025-05-16T10:00:00,2025-05-16T10:00:30,12.35,1,11.87,3559,14.75
2025-05-16T16:00:00,2025-05-16T16:00:30,12.35,1,11.87,3601,15.5
2025-05-16T22:00:00,2025-05-16T22:00:30,12.34,1,11.86,3589,15
2025-05-17T04:00:00,2025-05-17T04:00:30,12.33,1,11.86,3635,15.75
2025-05-17T10:00:00,2025-05-17T10:00:30,12.32,1,11.85,3574,15
2025-05-17T16:00:00,2025-05-17T16:00:30,12.31,1,11.85,3574,16
2025-05-17T22:00:00,2025-05-17T22:00:30,12.31,1,11.86,3481,16.25
2025-05-18T04:00:00,2025-05-18T04:00:30,12.3,1,11.84,3447,16
2025-05-18T10:00:00,2025-05-18T10:00:30,12.29,1,11.84,3438,15.25
2025-05-18T16:00:00,2025-05-18T16:00:30,12.28,1,11.83,3451,16
2025-05-18T22:00:00,2025-05-18T22:00:30,12.27,1,11.83,3373,15
2025-05-19T04:00:00,2025-05-19T04:00:30,12.27,1,11.82,3423,16
2025-05-19T10:00:00,2025-05-19T10:00:30,12.25,1,11.8,3442,15
2025-05-19T16:00:00,2025-05-19T16:00:30,12.25,1,11.8,3445,16
2025-05-19T22:00:00,2025-05-19T22:00:30,12.24,1,11.79,3381,15
2025-05-20T04:00:00,2025-05-20T04:00:30,12.23,1,11.78,3455,16
2025-05-20T10:00:00,2025-05-20T10:00:30,12.22,1,11.78,3392,15.25
2025-05-20T16:00:00,2025-05-20T16:00:30,12.21,1,11.78,3377,16
2025-05-20T22:00:00,2025-05-20T22:00:30,12.21,1,11.77,3403,16
2025-05-21T04:00:00,2025-05-21T04:00:30,12.2,1,11.77,3401,16.5
2025-05-21T10:00:00,2025-05-21T10:00:30,12.19,1,11.76,3366,15.5
2025-05-21T16:00:00,2025-05-21T16:00:30,12.18,1,11.75,3391,16
2025-05-21T22:00:00,2025-05-21T22:00:30,12.17,1,11.75,3357,15.25
2025-05-22T04:00:00,2025-05-22T04:00:30,12.16,1,11.73,3346,15.25
2025-05-22T10:00:00,2025-05-22T10:00:30,12.15,1,11.72,3316,15
2025-05-22T16:00:00,2025-05-22T16:00:30,12.15,1,11.71,3335,15
2025-05-22T22:00:00,2025-05-22T22:00:30,12.14,1,11.7,3344,15
2025-05-23T04:00:00,2025-05-23T04:00:30,12.13,1,11.69,3359,15
2025-05-23T10:00:00,2025-05-23T10:00:30,12.12,0,11.68,3304,14.5
2025-05-23T16:00:00,2025-05-23T16:00:30,12.11,0,12.42,2,12.5
2025-05-23T22:00:00,2025-05-23T22:00:30,12.12,0,12.43,2,17
2025-05-24T04:00:00,2025-05-24T04:00:30,12.13,1,12.45,2,21
2025-05-24T10:00:00,2025-05-24T10:00:30,12.13,1,12.45,2,21.5
Logging halted by user,,,,,,
