Pump Start Time,Pump Stop Time,Idle Voltage (V),Idle Current (mA),Loaded Voltage (V),Loaded Current (mA),PCB Temp (*C)
2025-05-06T22:30:00,2025-05-06T22:30:30,12.54,1,12.85,3,21.5
2025-05-07T04:30:00,2025-05-07T04:30:30,12.53,1,12.84,3,21.25
2025-05-07T10:30:00,2025-05-07T10:30:30,12.53,1,12.83,3,21
2025-05-07T16:30:00,2025-05-07T16:30:30,12.53,1,12.83,3,21.25
2025-05-07T22:30:00,2025-05-07T22:30:30,12.54,1,12.85,3,23.25
2025-05-08T04:30:00,2025-05-08T04:30:30,12.5,1,12.81,3,15
2025-05-08T10:30:00,2025-05-08T10:30:30,12.49,1,12.79,3,12.75
2025-05-08T16:30:00,2025-05-08T16:30:30,12.49,2,11.94,3345,14.5
2025-05-08T22:30:00,2025-05-08T22:30:30,12.52,1,11.93,3344,14
2025-05-09T04:30:00,2025-05-09T04:30:30,12.51,1,11.93,3392,14.25
2025-05-09T10:30:00,2025-05-09T10:30:30,12.51,1,11.94,3377,14
2025-05-09T16:30:00,2025-05-09T16:30:30,12.5,1,11.94,3348,13.75
2025-05-09T22:30:00,2025-05-09T22:30:30,12.49,1,11.93,3382,13.25
2025-05-10T04:30:00,2025-05-10T04:30:30,12.49,1,11.92,3390,13.5
2025-05-10T10:30:00,2025-05-10T10:30:30,12.48,1,11.93,3393,13.25
2025-05-10T16:30:00,2025-05-10T16:30:30,12.47,1,11.92,3385,13.25
2025-05-10T22:30:00,2025-05-10T22:30:30,12.46,1,11.92,3418,13.5
2025-05-11T04:30:00,2025-05-11T04:30:30,12.45,1,11.91,3418,13.5
2025-05-11T10:30:00,2025-05-11T10:30:30,12.45,1,11.9,3573,13.25
2025-05-11T16:30:00,2025-05-11T16:30:30,12.44,1,11.91,3407,13.5
2025-05-11T22:30:00,2025-05-11T22:30:30,12.43,1,11.92,3383,14
2025-05-12T04:30:00,2025-05-12T04:30:30,12.43,1,11.9,3426,13.75
2025-05-12T10:30:00,2025-05-12T10:30:30,12.42,1,11.91,3482,14.5
2025-05-12T16:30:00,2025-05-12T16:30:30,12.41,1,11.91,3380,14.5
2025-05-12T22:30:00,2025-05-12T22:30:30,12.41,1,11.9,3471,14.25
2025-05-13T04:30:00,2025-05-13T04:30:30,12.4,1,11.9,3457,15
2025-05-13T10:30:00,2025-05-13T10:30:30,12.39,1,11.9,3448,15
2025-05-13T16:30:00,2025-05-13T16:30:30,12.39,1,11.9,3372,15.25
2025-05-13T22:30:00,2025-05-13T22:30:30,12.38,1,11.89,3399,15
2025-05-14T04:30:00,2025-05-14T04:30:30,12.37,1,11.89,3367,15
2025-05-14T10:30:00,2025-05-14T10:30:30,12.36,1,11.88,3389,14.5
2025-05-14T16:30:00,2025-05-14T16:30:30,12.35,1,11.88,3336,14.75
2025-05-14T22:30:00,2025-05-14T22:30:30,12.35,1,11.87,3314,14.5
2025-05-15T04:30:00,2025-05-15T04:30:30,12.34,1,11.86,3355,14.75
2025-05-15T10:30:00,2025-05-15T10:30:30,12.33,1,11.86,3370,14.5
2025-05-15T16:30:00,2025-05-15T16:30:30,12.33,1,11.86,3384,15
2025-05-15T22:30:00,2025-05-15T22:30:30,12.32,1,11.85,3395,15
2025-05-16T04:30:00,2025-05-16T04:30:30,12.31,1,11.85,3435,15.25
2025-05-16T10:30:00,2025-05-16T10:30:30,12.3,0,11.84,3346,14.5
2025-05-16T16:30:00,2025-05-16T16:30:30,12.3,1,11.84,3393,14.75
2025-05-16T22:30:00,2025-05-16T22:30:30,12.29,1,11.82,3337,15
2025-05-17T04:30:00,2025-05-17T04:30:30,12.28,1,11.83,3416,15.25
2025-05-17T10:30:00,2025-05-17T10:30:30,12.27,0,11.82,3413,15
2025-05-17T16:30:00,2025-05-17T16:30:30,12.27,0,11.82,3401,15.5
2025-05-17T22:30:00,2025-05-17T22:30:30,12.26,1,11.82,3413,16
2025-05-18T04:30:00,2025-05-18T04:30:30,12.25,0,11.81,3481,15.75
2025-05-18T10:30:00,2025-05-18T10:30:30,12.25,1,11.8,3347,15.5
2025-05-18T16:30:00,2025-05-18T16:30:30,12.24,1,11.8,3376,16
2025-05-18T22:30:00,2025-05-18T22:30:30,12.23,1,11.79,3264,15.25
2025-05-19T04:30:00,2025-05-19T04:30:30,12.23,1,11.79,3353,15.75
2025-05-19T10:30:00,2025-05-19T10:30:30,12.22,1,11.79,3239,15.5
2025-05-19T16:30:00,2025-05-19T16:30:30,12.21,1,11.78,3345,16
2025-05-19T22:30:00,2025-05-19T22:30:30,12.2,0,11.77,3324,15.25
2025-05-20T04:30:00,2025-05-20T04:30:30,12.19,0,11.76,3361,16
2025-05-20T10:30:00,2025-05-20T10:30:30,12.19,0,11.76,3128,15.5
2025-05-20T16:30:00,2025-05-20T16:30:30,12.18,0,11.76,3274,15.75
2025-05-20T22:30:00,2025-05-20T22:30:30,12.17,0,11.75,3312,16
2025-05-21T04:30:00,2025-05-21T04:30:30,12.17,0,11.74,3355,16
2025-05-21T10:30:00,2025-05-21T10:30:30,12.16,0,11.74,3346,15.75
2025-05-21T16:30:00,2025-05-21T16:30:30,12.15,0,11.74,3264,16
2025-05-21T22:30:00,2025-05-21T22:30:30,12.14,0,11.72,3284,15.5
2025-05-22T04:30:00,2025-05-22T04:30:30,12.13,0,11.71,3286,15.5
2025-05-22T10:30:00,2025-05-22T10:30:30,12.12,0,11.7,3296,14.75
2025-05-22T16:30:00,2025-05-22T16:30:30,12.11,0,11.69,3309,15
2025-05-22T22:30:00,2025-05-22T22:30:30,12.11,0,11.69,3153,14.75
2025-05-23T04:30:00,2025-05-23T04:30:30,12.1,0,11.68,3147,14.75
2025-05-23T10:30:00,2025-05-23T10:30:30,12.09,0,11.67,3241,14.25
2025-05-23T16:30:00,2025-05-23T16:30:30,12.08,0,12.39,1,12
2025-05-23T22:30:00,2025-05-23T22:30:30,12.09,0,12.4,1,16.5
2025-05-24T04:30:00,2025-05-24T04:30:30,12.1,0,12.41,1,20.25
2025-05-24T10:30:00,2025-05-24T10:30:30,12.11,0,12.42,1,21.25
Logging halted by user,,,,,,
