Pump Start Time,Pump Stop Time,Idle Voltage (V),Idle Current (mA),Loaded Voltage (V),Loaded Current (mA),PCB Temp (*C)
2025-07-01T22:00:00,2025-07-01T22:00:30,12.92,2,13.23,4,23.5
2025-07-02T04:00:00,2025-07-02T04:00:30,12.92,2,13.23,3,24.5
2025-07-02T10:00:00,2025-07-02T10:00:30,12.92,2,13.23,3,24
2025-07-02T16:00:00,2025-07-02T16:00:30,12.9,2,12.95,298,19.5
2025-07-02T22:00:00,2025-07-02T22:00:30,12.89,2,12.93,278,18
2025-07-03T04:00:00,2025-07-03T04:00:30,12.88,2,12.94,297,17.75
2025-07-03T10:00:00,2025-07-03T10:00:30,12.88,2,12.93,275,17.75
2025-07-03T16:00:00,2025-07-03T16:00:30,12.88,2,12.94,247,17.75
2025-07-03T22:00:00,2025-07-03T22:00:30,12.87,2,12.93,282,17.75
2025-07-04T04:00:00,2025-07-04T04:00:30,12.87,2,12.93,272,17.5
2025-07-04T10:00:00,2025-07-04T10:00:30,12.87,2,12.93,277,17.5
2025-07-04T16:00:00,2025-07-04T16:00:30,12.87,2,12.93,283,17.5
2025-07-04T22:00:00,2025-07-04T22:00:30,12.86,2,12.92,264,17.5
2025-07-05T04:00:00,2025-07-05T04:00:30,12.86,2,12.92,278,17.25
2025-07-05T10:00:00,2025-07-05T10:00:30,12.86,2,12.91,277,17.25
2025-07-05T16:00:00,2025-07-05T16:00:30,12.85,2,12.91,254,17.25
2025-07-05T22:00:00,2025-07-05T22:00:30,12.85,2,12.91,260,17.25
2025-07-06T04:00:00,2025-07-06T04:00:30,12.85,2,12.9,267,17
2025-07-06T10:00:00,2025-07-06T10:00:30,12.85,2,12.19,4702,17.5
2025-07-06T16:00:00,2025-07-06T16:00:30,12.85,2,12.91,275,17
2025-07-06T22:00:00,2025-07-06T22:00:30,12.84,2,12.19,4701,17.25
2025-07-07T04:00:00,2025-07-07T04:00:30,12.84,2,12.19,4717,16.75
2025-07-07T10:00:00,2025-07-07T10:00:30,12.83,1,12.19,4791,17.25
2025-07-07T16:00:00,2025-07-07T16:00:30,12.82,2,12.89,270,16.75
2025-07-07T22:00:00,2025-07-07T22:00:30,12.82,1,12.88,259,16.75
2025-07-08T04:00:00,2025-07-08T04:00:30,12.81,1,12.16,4733,16.5
2025-07-08T10:00:00,2025-07-08T10:00:30,12.8,1,12.87,267,16.75
2025-07-08T16:00:00,2025-07-08T16:00:30,12.8,2,12.16,4717,16.5
2025-07-08T22:00:00,2025-07-08T22:00:30,12.79,1,12.17,4711,17.25
2025-07-09T04:00:00,2025-07-09T04:00:30,12.78,1,12.15,4801,16.5
2025-07-09T10:00:00,2025-07-09T10:00:30,12.77,1,12.85,295,16.75
2025-07-09T16:00:00,2025-07-09T16:00:30,12.77,1,12.15,4701,16.5
2025-07-09T22:00:00,2025-07-09T22:00:30,12.76,1,12.13,4848,17
2025-07-10T04:00:00,2025-07-10T04:00:30,12.75,1,12.13,4684,16.5
2025-07-10T10:00:00,2025-07-10T10:00:30,12.74,1,12.81,267,16.5
2025-07-10T16:00:00,2025-07-10T16:00:30,12.74,1,12.12,4629,16.5
2025-07-10T22:00:00,2025-07-10T22:00:30,12.73,1,12.13,4696,17
2025-07-11T04:00:00,2025-07-11T04:00:30,12.72,1,12.11,4732,16.5
2025-07-11T10:00:00,2025-07-11T10:00:30,12.71,1,12.79,278,16.75
2025-07-11T16:00:00,2025-07-11T16:00:30,12.71,1,12.1,4739,16.5
2025-07-11T22:00:00,2025-07-11T22:00:30,12.7,1,12.09,4745,17.25
2025-07-12T04:00:00,2025-07-12T04:00:30,12.69,1,12.09,4740,16.75
2025-07-12T10:00:00,2025-07-12T10:00:30,12.68,1,12.08,4706,17.25
2025-07-12T16:00:00,2025-07-12T16:00:30,12.67,1,12.07,4713,16.75
2025-07-12T22:00:00,2025-07-12T22:00:30,12.66,1,12.73,288,16.75
2025-07-13T04:00:00,2025-07-13T04:00:30,12.66,1,12.07,4703,16.75
2025-07-13T10:00:00,2025-07-13T10:00:30,12.65,1,12.72,273,17
2025-07-13T16:00:00,2025-07-13T16:00:30,12.65,1,12.05,4854,17
2025-07-13T22:00:00,2025-07-13T22:00:30,12.64,1,12.71,283,17
2025-07-14T04:00:00,2025-07-14T04:00:30,12.63,1,12.05,4800,17.25
2025-07-14T10:00:00,2025-07-14T10:00:30,12.63,1,12.71,274,17
2025-07-14T16:00:00,2025-07-14T16:00:30,12.63,1,12.05,4628,17.5
2025-07-14T22:00:00,2025-07-14T22:00:30,12.61,1,12.04,4607,17.5
2025-07-15T04:00:00,2025-07-15T04:00:30,12.61,1,12.05,4698,17.5
2025-07-15T10:00:00,2025-07-15T10:00:30,12.59,1,12.03,4650,17.75
2025-07-15T16:00:00,2025-07-15T16:00:30,12.59,1,12.03,4676,17.5
2025-07-15T22:00:00,2025-07-15T22:00:30,12.58,1,12.02,4700,17.75
2025-07-16T04:00:00,2025-07-16T04:00:30,12.57,1,12.66,261,17.75
2025-07-16T10:00:00,2025-07-16T10:00:30,12.57,1,12.01,4629,18
2025-07-16T16:00:00,2025-07-16T16:00:30,12.55,1,12.02,4634,18
2025-07-16T22:00:00,2025-07-16T22:00:30,12.55,1,12.01,4629,18.25
2025-07-17T04:00:00,2025-07-17T04:00:30,12.54,1,12,4600,17.75
2025-07-17T10:00:00,2025-07-17T10:00:30,12.53,1,11.99,4669,18.25
2025-07-17T16:00:00,2025-07-17T16:00:30,12.52,1,11.98,4634,17.75
2025-07-17T22:00:00,2025-07-17T22:00:30,12.51,0,11.97,4552,18.25
2025-07-18T04:00:00,2025-07-18T04:00:30,12.5,0,11.97,4605,17.75
2025-07-18T10:00:00,2025-07-18T10:00:30,12.49,1,11.96,4605,18.25
2025-07-18T16:00:00,2025-07-18T16:00:30,12.48,1,11.96,4549,17.75
2025-07-18T22:00:00,2025-07-18T22:00:30,12.47,0,11.95,4527,18.25
2025-07-19T04:00:00,2025-07-19T04:00:30,12.46,0,11.95,4638,18
2025-07-19T10:00:00,2025-07-19T10:00:30,12.45,0,11.93,4583,18.5
2025-07-19T16:00:00,2025-07-19T16:00:30,12.44,0,11.93,4602,18
2025-07-19T22:00:00,2025-07-19T22:00:30,12.43,0,11.92,4576,18.5
2025-07-20T04:00:00,2025-07-20T04:00:30,12.42,0,11.92,4628,18
2025-07-20T10:00:00,2025-07-20T10:00:30,12.41,0,11.91,4558,18.5
2025-07-20T16:00:00,2025-07-20T16:00:30,12.4,0,11.9,4615,18.25
2025-07-20T22:00:00,2025-07-20T22:00:30,12.39,0,11.89,4523,18.75
2025-07-21T04:00:00,2025-07-21T04:00:30,12.38,0,11.88,4526,18.25
2025-07-21T10:00:00,2025-07-21T10:00:30,12.37,0,11.88,4567,18.75
2025-07-21T16:00:00,2025-07-21T16:00:30,12.36,0,11.86,4605,18.25
2025-07-21T22:00:00,2025-07-21T22:00:30,12.35,0,11.87,4591,18.75
2025-07-22T04:00:00,2025-07-22T04:00:30,12.35,0,11.85,4624,18.25
2025-07-22T10:00:00,2025-07-22T10:00:30,12.33,0,11.84,4549,18.75
2025-07-22T16:00:00,2025-07-22T16:00:30,12.33,0,11.83,4589,18.25
2025-07-22T22:00:00,2025-07-22T22:00:30,12.32,0,11.84,4521,19.5
2025-07-23T04:00:00,2025-07-23T04:00:30,12.31,0,11.83,4504,18.5
2025-07-23T10:00:00,2025-07-23T10:00:30,12.3,0,11.83,4489,19.75
2025-07-23T16:00:00,2025-07-23T16:00:30,12.3,0,12.55,1,22
2025-07-23T22:00:00,2025-07-23T22:00:30,12.31,0,12.63,1,24
2025-07-24T04:00:00,2025-07-24T04:00:30,12.29,0,12.6,1,19
