Pump Start Time,Pump Stop Time,Idle Voltage (V),Idle Current (mA),Loaded Voltage (V),Loaded Current (mA),PCB Temp (*C)
2025-05-06T22:00:00,2025-05-06T22:00:30,12.75,2,13.05,4,21.75
2025-05-07T04:00:00,2025-05-07T04:00:30,12.74,3,13.05,4,21.5
2025-05-07T10:00:00,2025-05-07T10:00:30,12.74,2,13.05,4,21.5
2025-05-07T16:00:00,2025-05-07T16:00:30,12.73,3,13.04,4,21.5
2025-05-07T22:00:00,2025-05-07T22:00:30,12.75,3,13.06,4,23.25
2025-05-08T04:00:00,2025-05-08T04:00:30,12.71,2,13.02,4,14.75
2025-05-08T10:00:00,2025-05-08T10:00:30,12.69,2,13,3,12.75
2025-05-08T16:00:00,2025-05-08T16:00:30,12.7,2,11.93,6520,13
2025-05-08T22:00:00,2025-05-08T22:00:30,12.71,2,11.89,6628,14.25
2025-05-09T04:00:00,2025-05-09T04:00:30,12.71,2,11.9,6487,11.5
2025-05-09T10:00:00,2025-05-09T10:00:30,12.7,2,11.9,6547,14
2025-05-09T16:00:00,2025-05-09T16:00:30,12.69,2,11.91,6412,11.75
2025-05-09T22:00:00,2025-05-09T22:00:30,12.68,2,11.95,5952,14.5
2025-05-10T04:00:00,2025-05-10T04:00:30,12.67,2,11.94,5776,12
2025-05-10T10:00:00,2025-05-10T10:00:30,12.66,2,11.96,5745,14.5
2025-05-10T16:00:00,2025-05-10T16:00:30,12.65,2,11.97,5572,12.75
2025-05-10T22:00:00,2025-05-10T22:00:30,12.65,2,11.97,5362,14.75
2025-05-11T04:00:00,2025-05-11T04:00:30,12.63,2,11.98,5313,13
2025-05-11T10:00:00,2025-05-11T10:00:30,12.63,2,11.96,5421,14.25
2025-05-11T16:00:00,2025-05-11T16:00:30,12.61,2,11.96,5372,12.75
2025-05-11T22:00:00,2025-05-11T22:00:30,12.61,2,11.94,5305,14.25
2025-05-12T04:00:00,2025-05-12T04:00:30,12.59,2,11.91,5614,12.25
2025-05-12T10:00:00,2025-05-12T10:00:30,12.59,2,11.9,5763,14.5
2025-05-12T16:00:00,2025-05-12T16:00:30,12.57,2,11.88,5810,12
2025-05-12T22:00:00,2025-05-12T22:00:30,12.57,2,11.87,5866,14
2025-05-13T04:00:00,2025-05-13T04:00:30,12.55,2,11.86,5716,12
2025-05-13T10:00:00,2025-05-13T10:00:30,12.55,2,11.86,5700,14
2025-05-13T16:00:00,2025-05-13T16:00:30,12.53,2,11.85,5740,12
2025-05-13T22:00:00,2025-05-13T22:00:30,12.53,2,11.86,5585,14
2025-05-14T04:00:00,2025-05-14T04:00:30,12.51,2,11.85,5677,12
2025-05-14T10:00:00,2025-05-14T10:00:30,12.51,2,11.85,5744,16
