Pump Start Time,Pump Stop Time,Idle Voltage (V),Idle Current (mA),Loaded Voltage (V),Loaded Current (mA),PCB Temp (*C)
2025-04-23T22:05:00,2025-04-23T22:05:30,12.78,1,13.09,3,22.25
2025-04-24T04:05:00,2025-04-24T04:05:30,12.74,1,13.05,3,22
2025-04-24T10:05:00,2025-04-24T10:05:30,12.71,1,13.02,3,17.75
2025-04-24T16:05:00,2025-04-24T16:05:30,12.69,1,12.89,2,16
2025-04-24T22:05:00,2025-04-24T22:05:30,12.65,1,11.94,3243,11.25
2025-04-25T04:05:00,2025-04-25T04:05:30,12.64,1,11.96,3177,12.5
2025-04-25T10:05:00,2025-04-25T10:05:30,12.63,1,11.96,3160,11.25
2025-04-25T16:05:00,2025-04-25T16:05:30,12.63,1,11.96,3230,12.25
2025-04-25T22:05:00,2025-04-25T22:05:30,12.63,1,11.97,3210,11.75
2025-04-26T04:05:00,2025-04-26T04:05:30,12.63,1,11.97,3224,12.75
2025-04-26T10:05:00,2025-04-26T10:05:30,12.62,1,11.96,3189,11.25
2025-04-26T16:05:00,2025-04-26T16:05:30,12.61,1,11.97,3166,12.25
2025-04-26T22:05:00,2025-04-26T22:05:30,12.6,1,11.96,3161,11
2025-04-27T04:05:00,2025-04-27T04:05:30,12.6,1,11.96,3103,11.75
2025-04-27T10:05:00,2025-04-27T10:05:30,12.59,1,11.95,3167,10.25
2025-04-27T16:05:00,2025-04-27T16:05:30,12.58,1,11.94,3153,11.25
2025-04-27T22:05:00,2025-04-27T22:05:30,12.57,1,11.94,3199,10.25
2025-04-28T04:05:00,2025-04-28T04:05:30,12.57,1,11.94,3169,11
2025-04-28T10:05:00,2025-04-28T10:05:30,12.56,0,11.93,3222,10.5
2025-04-28T16:05:00,2025-04-28T16:05:30,12.55,1,11.93,3173,11
2025-04-28T22:05:00,2025-04-28T22:05:30,12.55,1,11.93,3149,10.75
2025-04-29T04:05:00,2025-04-29T04:05:30,12.54,1,11.93,3151,11.75
2025-04-29T10:05:00,2025-04-29T10:05:30,12.53,0,11.92,3166,10.75
2025-04-29T16:05:00,2025-04-29T16:05:30,12.53,0,11.92,3189,11.5
2025-04-29T22:05:00,2025-04-29T22:05:30,12.52,1,11.92,3193,11.25
2025-04-30T04:05:00,2025-04-30T04:05:30,12.51,0,11.91,3149,11.75
2025-04-30T10:05:00,2025-04-30T10:05:30,12.5,0,11.9,3148,11
2025-04-30T16:05:00,2025-04-30T16:05:30,12.49,1,11.89,3205,11.75
2025-04-30T22:05:00,2025-04-30T22:05:30,12.49,0,11.89,3236,11.25
2025-05-01T04:05:00,2025-05-01T04:05:30,12.48,1,11.9,3282,12.5
2025-05-01T10:05:00,2025-05-01T10:05:30,12.47,0,11.88,3182,11.25
2025-05-01T16:05:00,2025-05-01T16:05:30,12.46,0,11.87,3215,12.25
2025-05-01T22:05:00,2025-05-01T22:05:30,12.46,0,11.88,3232,11.75
2025-05-02T04:05:00,2025-05-02T04:05:30,12.45,0,11.88,3142,12.75
2025-05-02T10:05:00,2025-05-02T10:05:30,12.44,0,11.88,3213,11.75
2025-05-02T16:05:00,2025-05-02T16:05:30,12.43,0,11.86,3185,12.75
2025-05-02T22:05:00,2025-05-02T22:05:30,12.43,0,11.87,3187,12.5
2025-05-03T04:05:00,2025-05-03T04:05:30,12.42,0,11.87,3197,13.75
2025-05-03T10:05:00,2025-05-03T10:05:30,12.41,0,11.86,3213,12.75
2025-05-03T16:05:00,2025-05-03T16:05:30,12.41,0,11.85,3195,13.25
2025-05-03T22:05:00,2025-05-03T22:05:30,12.4,0,11.86,3165,13.5
2025-05-04T04:05:00,2025-05-04T04:05:30,12.39,0,11.85,3179,13.75
2025-05-04T10:05:00,2025-05-04T10:05:30,12.39,0,11.85,3164,13.5
2025-05-04T16:05:00,2025-05-04T16:05:30,12.38,0,11.84,3185,14
2025-05-04T22:05:00,2025-05-04T22:05:30,12.37,0,11.84,3186,13.75
2025-05-05T04:05:00,2025-05-05T04:05:30,12.36,0,11.83,3232,14.25
2025-05-05T10:05:00,2025-05-05T10:05:30,12.35,0,11.82,3195,13.5
2025-05-05T16:05:00,2025-05-05T16:05:30,12.34,0,11.81,3173,14
2025-05-05T22:05:00,2025-05-05T22:05:30,12.33,0,11.81,3130,13.25
2025-05-06T04:05:00,2025-05-06T04:05:30,12.33,0,11.8,3149,14
2025-05-06T10:05:00,2025-05-06T10:05:30,12.32,0,11.79,3195,13.25
2025-05-06T16:05:00,2025-05-06T16:05:30,12.31,0,11.78,3197,14.25
2025-05-06T22:05:00,2025-05-06T22:05:30,12.3,0,11.78,3175,13.5
2025-05-07T04:05:00,2025-05-07T04:05:30,12.3,0,11.77,3172,14.25
2025-05-07T10:05:00,2025-05-07T10:05:30,12.29,0,11.76,3180,13.5
2025-05-07T16:05:00,2025-05-07T16:05:30,12.28,-1,11.76,3148,14.25
2025-05-07T22:05:00,2025-05-07T22:05:30,12.27,0,11.75,3167,14.75
2025-05-08T04:05:00,2025-05-08T04:05:30,12.27,0,11.74,3207,14.5
2025-05-08T10:05:00,2025-05-08T10:05:30,12.26,0,11.75,3147,14.25
2025-05-08T16:05:00,2025-05-08T16:05:30,12.26,0,12.57,1,16.5
2025-05-08T22:05:00,2025-05-08T22:05:30,12.29,0,12.6,1,22.5
2025-05-09T04:05:00,2025-05-09T04:05:30,12.28,0,12.59,1,21.5
2025-05-09T10:05:00,2025-05-09T10:05:30,12.27,0,12.59,1,21.5
Logging halted by user,,,,,,
