Pump Start Time,Pump Stop Time,Idle Voltage (V),Idle Current (mA),Loaded Voltage (V),Loaded Current (mA),PCB Temp (*C)
2025-07-21T22:00:00,2025-07-21T22:00:30,12.68,2,12.99,3,21.75
2025-07-22T04:00:00,2025-07-22T04:00:30,12.65,2,12.97,3,21.5
2025-07-22T10:00:00,2025-07-22T10:00:30,12.65,2,12.95,3,21.25
2025-07-22T16:00:00,2025-07-22T16:00:30,12.64,2,12.95,3,21.5
2025-07-22T22:00:00,2025-07-22T22:00:30,12.67,2,12.98,3,31.5
2025-07-23T04:00:00,2025-07-23T04:00:30,12.63,2,12.94,3,19.75
2025-07-23T10:00:00,2025-07-23T10:00:30,12.61,1,12.92,3,15.75
2025-07-23T16:00:00,2025-07-23T16:00:30,12.62,2,12.12,3507,20
2025-07-23T22:00:00,2025-07-23T22:00:30,12.63,2,12.11,3611,19.75
2025-07-24T04:00:00,2025-07-24T04:00:30,12.62,2,12.1,3612,19.5
2025-07-24T10:00:00,2025-07-24T10:00:30,12.61,2,12.1,3650,19.5
2025-07-24T16:00:00,2025-07-24T16:00:30,12.6,2,12.1,3602,20
2025-07-24T22:00:00,2025-07-24T22:00:30,12.59,2,12.09,3601,19
2025-07-25T04:00:00,2025-07-25T04:00:30,12.59,2,12.09,3593,19.5
2025-07-25T10:00:00,2025-07-25T10:00:30,12.58,2,12.09,3614,19.25
2025-07-25T16:00:00,2025-07-25T16:00:30,12.57,2,12.08,3562,19.75
2025-07-25T22:00:00,2025-07-25T22:00:30,12.56,2,12.08,3627,19.25
2025-07-26T04:00:00,2025-07-26T04:00:30,12.55,1,12.07,3628,19.75
2025-07-26T10:00:00,2025-07-26T10:00:30,12.55,1,12.07,3608,19.5
2025-07-26T16:00:00,2025-07-26T16:00:30,12.54,1,12.06,3582,20
2025-07-26T22:00:00,2025-07-26T22:00:30,12.53,2,12.06,3627,20
2025-07-27T04:00:00,2025-07-27T04:00:30,12.52,1,12.05,3572,20
2025-07-27T10:00:00,2025-07-27T10:00:30,12.51,1,12.05,3530,19.5
2025-07-27T16:00:00,2025-07-27T16:00:30,12.5,1,12.05,3560,20.25
2025-07-27T22:00:00,2025-07-27T22:00:30,12.49,1,12.03,3577,19.5
2025-07-28T04:00:00,2025-07-28T04:00:30,12.49,1,12.03,3683,20.5
2025-07-28T10:00:00,2025-07-28T10:00:30,12.48,1,12.02,3571,19.5
2025-07-28T16:00:00,2025-07-28T16:00:30,12.47,1,12.02,3532,20.25
2025-07-28T22:00:00,2025-07-28T22:00:30,12.46,1,12.01,3491,19.75
2025-07-29T04:00:00,2025-07-29T04:00:30,12.45,1,12.01,3516,20.25
2025-07-29T10:00:00,2025-07-29T10:00:30,12.44,1,11.99,3479,19.75
2025-07-29T16:00:00,2025-07-29T16:00:30,12.43,1,12,3525,20.25
2025-07-29T22:00:00,2025-07-29T22:00:30,12.43,1,11.99,3509,19.75
2025-07-30T04:00:00,2025-07-30T04:00:30,12.42,1,11.98,3521,20.25
2025-07-30T10:00:00,2025-07-30T10:00:30,12.41,1,11.97,3492,19.75
2025-07-30T16:00:00,2025-07-30T16:00:30,12.4,1,11.96,3419,20.25
2025-07-30T22:00:00,2025-07-30T22:00:30,12.39,1,11.97,3527,19.75
2025-07-31T04:00:00,2025-07-31T04:00:30,12.39,1,11.95,3430,20.5
2025-07-31T10:00:00,2025-07-31T10:00:30,12.37,1,11.95,3363,19.75
2025-07-31T16:00:00,2025-07-31T16:00:30,12.37,1,11.95,3481,20.25
2025-07-31T22:00:00,2025-07-31T22:00:30,12.36,1,11.93,3425,19.75
2025-08-01T04:00:00,2025-08-01T04:00:30,12.35,1,11.94,3438,21.5
2025-08-01T10:00:00,2025-08-01T10:00:30,12.35,1,11.94,3480,20.75
2025-08-01T16:00:00,2025-08-01T16:00:30,12.34,1,11.94,3469,21.75
2025-08-01T22:00:00,2025-08-01T22:00:30,12.33,1,11.93,3476,21.5
2025-08-02T04:00:00,2025-08-02T04:00:30,12.33,1,11.93,3401,22
2025-08-02T10:00:00,2025-08-02T10:00:30,12.32,1,11.92,3458,21.5
2025-08-02T16:00:00,2025-08-02T16:00:30,12.31,1,11.91,3436,22
2025-08-02T22:00:00,2025-08-02T22:00:30,12.3,1,11.9,3461,21.5
2025-08-03T04:00:00,2025-08-03T04:00:30,12.29,1,11.89,3508,22
2025-08-03T10:00:00,2025-08-03T10:00:30,12.28,0,11.89,3522,21.25
2025-08-03T16:00:00,2025-08-03T16:00:30,12.27,1,11.88,3509,22
2025-08-03T22:00:00,2025-08-03T22:00:30,12.27,0,11.87,3387,21.25
2025-08-04T04:00:00,2025-08-04T04:00:30,12.26,0,11.87,3457,22.25
2025-08-04T10:00:00,2025-08-04T10:00:30,12.25,1,11.86,3554,21.5
2025-08-04T16:00:00,2025-08-04T16:00:30,12.24,1,11.85,3457,22.25
2025-08-04T22:00:00,2025-08-04T22:00:30,12.23,0,11.84,3523,21.5
2025-08-05T04:00:00,2025-08-05T04:00:30,12.23,0,11.83,3484,22
2025-08-05T10:00:00,2025-08-05T10:00:30,12.22,0,11.82,3440,21.25
2025-08-05T16:00:00,2025-08-05T16:00:30,12.21,1,11.82,3398,22
2025-08-05T22:00:00,2025-08-05T22:00:30,12.2,0,11.81,3511,21.25
2025-08-06T04:00:00,2025-08-06T04:00:30,12.19,0,11.81,3470,22
2025-08-06T10:00:00,2025-08-06T10:00:30,12.19,0,11.8,3460,21.5
2025-08-06T16:00:00,2025-08-06T16:00:30,12.18,1,11.79,3491,22
2025-08-06T22:00:00,2025-08-06T22:00:30,12.17,0,11.79,3469,22
2025-08-07T04:00:00,2025-08-07T04:00:30,12.16,0,11.78,3401,22
2025-08-07T10:00:00,2025-08-07T10:00:30,12.16,0,11.78,3407,22
2025-08-07T16:00:00,2025-08-07T16:00:30,12.15,0,11.76,3376,21.75
2025-08-07T22:00:00,2025-08-07T22:00:30,12.14,0,11.76,3422,22.25
2025-08-08T04:00:00,2025-08-08T04:00:30,12.13,0,11.74,3553,22
2025-08-08T10:00:00,2025-08-08T10:00:30,12.13,0,11.76,3486,23
2025-08-08T16:00:00,2025-08-08T16:00:30,12.12,0,11.73,3435,22.5
2025-08-08T22:00:00,2025-08-08T22:00:30,12.11,0,11.74,3455,23
2025-08-09T04:00:00,2025-08-09T04:00:30,12.1,0,11.72,3442,22.5
2025-08-09T10:00:00,2025-08-09T10:00:30,12.09,0,11.72,3411,22.5
2025-08-09T16:00:00,2025-08-09T16:00:30,12.09,0,11.71,3361,22.75
2025-08-09T22:00:00,2025-08-09T22:00:30,12.08,0,11.71,3381,22.5
2025-08-10T04:00:00,2025-08-10T04:00:30,12.07,0,11.7,3380,22.25
2025-08-10T10:00:00,2025-08-10T10:00:30,12.06,0,11.69,3376,22.25
2025-08-10T16:00:00,2025-08-10T16:00:30,12.05,0,11.68,3374,22.5
2025-08-10T22:00:00,2025-08-10T22:00:30,12.05,0,11.68,3415,22.5
2025-08-11T04:00:00,2025-08-11T04:00:30,12.03,0,11.66,3406,22.25
2025-08-11T10:00:00,2025-08-11T10:00:30,12.02,0,11.65,3480,21.75
2025-08-11T16:00:00,2025-08-11T16:00:30,12.02,0,11.64,3392,22.25
2025-08-11T22:00:00,2025-08-11T22:00:30,12.01,0,11.64,3414,21.75
2025-08-12T04:00:00,2025-08-12T04:00:30,12,0,11.63,3412,22.25
2025-08-12T10:00:00,2025-08-12T10:00:30,11.99,0,11.61,3421,21.5
2025-08-12T16:00:00,2025-08-12T16:00:30,11.98,0,11.61,3402,22.25
2025-08-12T22:00:00,2025-08-12T22:00:30,11.97,0,11.61,3350,21.75
2025-08-13T04:00:00,2025-08-13T04:00:30,11.97,0,11.6,3363,22.25
2025-08-13T10:00:00,2025-08-13T10:00:30,11.96,-1,11.58,3410,21.75
2025-08-13T16:00:00,2025-08-13T16:00:30,11.95,-1,11.57,3340,22.25
2025-08-13T22:00:00,2025-08-13T22:00:30,11.94,0,11.58,3358,21.75
2025-08-14T04:00:00,2025-08-14T04:00:30,11.93,0,11.56,3395,22.25
2025-08-14T10:00:00,2025-08-14T10:00:30,11.92,-1,11.56,3431,21.75
2025-08-14T16:00:00,2025-08-14T16:00:30,11.91,-1,11.55,3318,22.25
2025-08-14T22:00:00,2025-08-14T22:00:30,11.91,-1,11.53,3380,21.75
2025-08-15T04:00:00,2025-08-15T04:00:30,11.9,-1,11.53,3303,22.25
2025-08-15T10:00:00,2025-08-15T10:00:30,11.89,-1,11.52,3367,21.75
2025-08-15T16:00:00,2025-08-15T16:00:30,11.88,-1,11.5,3382,22.25
2025-08-15T22:00:00,2025-08-15T22:00:30,11.87,-1,11.49,3349,21.75
2025-08-16T04:00:00,2025-08-16T04:00:30,11.86,-1,11.49,3367,22.25
2025-08-16T10:00:00,2025-08-16T10:00:30,11.85,-1,11.48,3373,21.75
2025-08-16T16:00:00,2025-08-16T16:00:30,11.85,0,11.47,3382,22.5
2025-08-16T22:00:00,2025-08-16T22:00:30,11.83,-1,11.45,3455,21.75
2025-08-17T04:00:00,2025-08-17T04:00:30,11.83,-1,11.44,3367,22.25
2025-08-17T10:00:00,2025-08-17T10:00:30,11.82,-1,11.44,3333,21.75
2025-08-17T16:00:00,2025-08-17T16:00:30,11.81,-1,11.44,3281,22.25
2025-08-17T22:00:00,2025-08-17T22:00:30,11.8,-1,11.42,3235,21.5
2025-08-18T04:00:00,2025-08-18T04:00:30,11.79,-1,11.41,3257,22
2025-08-18T10:00:00,2025-08-18T10:00:30,11.78,-1,11.41,3275,21.5
2025-08-18T16:00:00,2025-08-18T16:00:30,11.77,-1,11.39,3253,22.5
2025-08-18T22:00:00,2025-08-18T22:00:30,11.76,-1,11.39,3265,22
2025-08-19T04:00:00,2025-08-19T04:00:30,11.75,-1,11.37,3312,22.5
2025-08-19T10:00:00,2025-08-19T10:00:30,11.75,-1,11.36,3315,22
2025-08-19T16:00:00,2025-08-19T16:00:30,11.73,-1,11.34,3383,22.5
2025-08-19T22:00:00,2025-08-19T22:00:30,11.73,-1,11.34,3277,22.5
2025-08-20T04:00:00,2025-08-20T04:00:30,11.72,-1,11.33,3199,22.75
2025-08-20T10:00:00,2025-08-20T10:00:30,11.71,-1,11.33,3255,23.25
2025-08-20T16:00:00,2025-08-20T16:00:30,11.7,-1,11.3,3342,23.25
2025-08-20T22:00:00,2025-08-20T22:00:30,11.69,-1,11.3,3257,23.25
2025-08-21T04:00:00,2025-08-21T04:00:30,11.68,-1,11.27,3269,23.5
2025-08-21T10:00:00,2025-08-21T10:00:30,11.67,-2,11.27,3301,23
2025-08-21T16:00:00,2025-08-21T16:00:30,11.66,-1,11.25,3321,23.25
2025-08-21T22:00:00,2025-08-21T22:00:30,11.65,-2,11.24,3360,22.75
2025-08-22T04:00:00,2025-08-22T04:00:30,11.63,-1,11.22,3278,22.5
2025-08-22T10:00:00,2025-08-22T10:00:30,11.62,-1,11.21,3261,22.5
2025-08-22T16:00:00,2025-08-22T16:00:30,11.61,-1,11.19,3199,22.25
2025-08-22T22:00:00,2025-08-22T22:00:30,11.6,-2,11.17,3266,22.25
2025-08-23T04:00:00,2025-08-23T04:00:30,11.59,-1,11.15,3227,22.5
2025-08-23T10:00:00,2025-08-23T10:00:30,11.58,-1,11.14,3203,22.25
2025-08-23T16:00:00,2025-08-23T16:00:30,11.57,-2,11.11,3216,22.5
2025-08-23T22:00:00,2025-08-23T22:00:30,11.55,-2,11.09,3254,22
2025-08-24T04:00:00,2025-08-24T04:00:30,11.54,-2,11.07,3257,22.5
2025-08-24T10:00:00,2025-08-24T10:00:30,11.53,-2,11.05,3243,22.25
2025-08-24T16:00:00,2025-08-24T16:00:30,11.52,-2,11.01,3228,22.5
2025-08-24T22:00:00,2025-08-24T22:00:30,11.51,-2,10.98,3194,22
2025-08-25T04:00:00,2025-08-25T04:00:30,11.49,-2,10.95,3197,22.5
2025-08-25T10:00:00,2025-08-25T10:00:30,11.48,-2,10.92,3254,22
2025-08-25T16:00:00,2025-08-25T16:00:30,11.47,-2,11.79,-1,23.75
2025-08-25T22:00:00,2025-08-25T22:00:30,11.48,-2,11.8,-1,27
2025-08-26T04:00:00,2025-08-26T04:00:30,11.46,-2,11.78,-1,22.5
2025-08-26T10:00:00,2025-08-26T10:00:30,11.46,-2,11.77,-1,21.75
2025-08-26T16:00:00,2025-08-26T16:00:30,11.45,-2,11.77,-1,21.75
2025-08-26T22:00:00,2025-08-26T22:00:30,11.45,-2,11.76,-1,22
2025-08-27T04:00:00,2025-08-27T04:00:30,11.45,-2,11.76,-1,21.75
2025-08-27T10:00:00,2025-08-27T10:00:30,11.44,-2,11.75,-1,21.5
2025-08-27T16:00:00,2025-08-27T16:00:30,11.44,-2,11.75,-1,21.75
2025-08-27T22:00:00,2025-08-27T22:00:30,11.43,-2,11.75,-1,22
2025-08-28T04:00:00,2025-08-28T04:00:30,11.43,-2,11.74,-1,22
2025-08-28T10:00:00,2025-08-28T10:00:30,11.43,-2,11.74,-1,22.25
Logging halted by user,,,,,,
