Pump Start Time,Pump Stop Time,Idle Voltage (V),Idle Current (mA),Loaded Voltage (V),Loaded Current (mA),PCB Temp (*C)
2025-07-21T22:00:00,2025-07-21T22:00:30,12.97,3,13.28,5,22
2025-07-22T04:00:00,2025-07-22T04:00:30,12.95,3,13.25,5,21.25
2025-07-22T10:00:00,2025-07-22T10:00:30,12.93,3,13.24,4,21.25
2025-07-22T16:00:00,2025-07-22T16:00:30,12.93,3,13.24,5,21.25
2025-07-22T22:00:00,2025-07-22T22:00:30,12.94,3,13.25,5,25.25
2025-07-23T04:00:00,2025-07-23T04:00:30,12.92,3,13.23,4,19.75
2025-07-23T10:00:00,2025-07-23T10:00:30,12.9,3,13.21,4,16
2025-07-23T16:00:00,2025-07-23T16:00:30,12.91,3,12.3,4624,19
2025-07-23T22:00:00,2025-07-23T22:00:30,12.92,3,12.29,4747,19.75
2025-07-24T04:00:00,2025-07-24T04:00:30,12.92,3,12.29,4641,18.5
2025-07-24T10:00:00,2025-07-24T10:00:30,12.91,3,12.29,4712,19.75
2025-07-24T16:00:00,2025-07-24T16:00:30,12.91,3,12.29,4702,18.5
2025-07-24T22:00:00,2025-07-24T22:00:30,12.9,3,12.29,4657,20
2025-07-25T04:00:00,2025-07-25T04:00:30,12.89,3,12.29,4667,18.75
2025-07-25T10:00:00,2025-07-25T10:00:30,12.88,3,12.29,4643,20.25
2025-07-25T16:00:00,2025-07-25T16:00:30,12.87,3,12.28,4632,19
2025-07-25T22:00:00,2025-07-25T22:00:30,12.87,3,12.28,4635,20.5
2025-07-26T04:00:00,2025-07-26T04:00:30,12.85,3,12.28,4613,19
2025-07-26T10:00:00,2025-07-26T10:00:30,12.85,3,12.28,4631,20.5
2025-07-26T16:00:00,2025-07-26T16:00:30,12.84,3,12.27,4661,19.25
2025-07-26T22:00:00,2025-07-26T22:00:30,12.83,3,12.27,4682,20.75
2025-07-27T04:00:00,2025-07-27T04:00:30,12.82,3,12.26,4575,19.25
2025-07-27T10:00:00,2025-07-27T10:00:30,12.81,3,12.26,4634,20.75
2025-07-27T16:00:00,2025-07-27T16:00:30,12.8,3,12.26,4567,19.5
2025-07-27T22:00:00,2025-07-27T22:00:30,12.79,3,12.25,4619,20.75
2025-07-28T04:00:00,2025-07-28T04:00:30,12.79,3,12.24,4610,19.5
2025-07-28T10:00:00,2025-07-28T10:00:30,12.78,3,12.24,4642,20.75
2025-07-28T16:00:00,2025-07-28T16:00:30,12.77,3,12.22,4631,19.5
2025-07-28T22:00:00,2025-07-28T22:00:30,12.76,2,12.23,4586,20.75
2025-07-29T04:00:00,2025-07-29T04:00:30,12.75,2,12.22,4606,19.5
