#,Date-Time (UTC Standard Time),Temperature   (°C),Light   (lux),Started,Button Down,Button Up,End of File
1,07/22/2025 19:20:00,23.68,356.64,Logged,,,
2,07/22/2025 19:25:00,23.21,175.28,,,,
3,07/22/2025 19:30:00,22.56,5.85,,,,
4,07/22/2025 19:35:00,22.31,21.56,,,,
5,07/22/2025 19:40:00,22.26,20.91,,,,
6,07/22/2025 19:45:00,22.31,20.47,,,,
7,07/22/2025 19:50:00,22.43,19.82,,,,
8,07/22/2025 19:55:00,22.82,3822.08,,,,
9,07/22/2025 20:00:00,25.48,22046.72,,,,
10,07/22/2025 20:05:00,28.91,22067.20,,,,
11,07/22/2025 20:10:00,30.59,9664.00,,,,
12,07/22/2025 20:15:00,31.83,10122.24,,,,
13,07/22/2025 20:20:00,33.12,10247.68,,,,
14,07/22/2025 20:25:00,34.15,10234.88,,,,
15,07/22/2025 20:30:00,35.35,10150.40,,,,
16,07/22/2025 20:35:00,36.25,10101.76,,,,
17,07/22/2025 20:40:00,37.11,9991.68,,,,
18,07/22/2025 20:45:00,37.75,9927.68,,,,
19,07/22/2025 20:50:00,38.31,9832.96,,,,
20,07/22/2025 20:55:00,38.82,9687.04,,,,
21,07/22/2025 21:00:00,39.25,9566.72,,,,
22,07/22/2025 21:05:00,39.64,9492.48,,,,
23,07/22/2025 21:10:00,40.02,9853.44,,,,
24,07/22/2025 21:15:00,40.41,9838.08,,,,
25,07/22/2025 21:20:00,40.75,9664.00,,,,
26,07/22/2025 21:25:00,41.10,9464.32,,,,
27,07/22/2025 21:30:00,41.40,9303.04,,,,
28,07/22/2025 21:35:00,41.70,9082.88,,,,
29,07/22/2025 21:40:00,42.00,9095.68,,,,
30,07/22/2025 21:45:00,42.81,10004.48,,,,
31,07/22/2025 21:50:00,44.06,12282.88,,,,
32,07/22/2025 21:55:00,45.34,37355.52,,,,
33,07/22/2025 22:00:00,46.12,39546.88,,,,
34,07/22/2025 22:05:00,46.42,14781.44,,,,
35,07/22/2025 22:10:00,46.29,5432.32,,,,
36,07/22/2025 22:15:00,42.94,893.12,,,,
37,07/22/2025 22:20:00,40.28,833.60,,,,
38,07/22/2025 22:25:00,38.22,826.56,,,,
39,07/22/2025 22:30:00,36.55,791.36,,,,
40,07/22/2025 22:35:00,35.18,716.48,,,,
41,07/22/2025 22:40:00,34.06,754.24,,,,
42,07/22/2025 22:45:00,33.03,720.64,,,,
43,07/22/2025 22:50:00,32.13,653.60,,,,
44,07/22/2025 22:55:00,31.31,595.36,,,,
45,07/22/2025 23:00:00,30.59,532.48,,,,
46,07/22/2025 23:05:00,30.03,637.44,,,,
47,07/22/2025 23:10:00,29.38,557.60,,,,
48,07/22/2025 23:15:00,28.87,529.92,,,,
49,07/22/2025 23:20:00,28.35,489.92,,,,
50,07/22/2025 23:25:00,27.93,413.60,,,,
51,07/22/2025 23:30:00,27.41,368.32,,,,
52,07/22/2025 23:35:00,26.98,330.88,,,,
53,07/22/2025 23:40:00,26.60,293.36,,,,
54,07/22/2025 23:45:00,26.17,245.36,,,,
55,07/22/2025 23:50:00,25.87,204.40,,,,
56,07/22/2025 23:55:00,25.48,167.60,,,,
57,07/23/2025 00:00:00,25.22,131.92,,,,
58,07/23/2025 00:05:00,24.97,98.72,,,,
59,07/23/2025 00:10:00,24.71,68.12,,,,
60,07/23/2025 00:15:00,24.41,43.22,,,,
61,07/23/2025 00:20:00,24.19,25.11,,,,
62,07/23/2025 00:25:00,23.94,13.53,,,,
63,07/23/2025 00:30:00,23.68,6.32,,,,
64,07/23/2025 00:35:00,23.46,4.34,,,,
65,07/23/2025 00:40:00,23.34,2.38,,,,
66,07/23/2025 00:45:00,23.12,1.73,,,,
67,07/23/2025 00:50:00,22.99,1.51,,,,
68,07/23/2025 00:55:00,22.78,1.51,,,,
69,07/23/2025 01:00:00,22.65,1.51,,,,
70,07/23/2025 01:05:00,22.48,1.30,,,,
71,07/23/2025 01:10:00,22.35,1.30,,,,
72,07/23/2025 01:15:00,22.22,1.30,,,,
73,07/23/2025 01:20:00,22.13,1.30,,,,
74,07/23/2025 01:25:00,22.01,1.30,,,,
75,07/23/2025 01:30:00,21.88,1.30,,,,
76,07/23/2025 01:35:00,21.79,1.30,,,,
77,07/23/2025 01:40:00,21.62,1.30,,,,
78,07/23/2025 01:45:00,21.58,1.30,,,,
79,07/23/2025 01:50:00,21.45,1.30,,,,
80,07/23/2025 01:55:00,21.32,1.30,,,,
81,07/23/2025 02:00:00,21.28,1.30,,,,
82,07/23/2025 02:05:00,21.19,1.30,,,,
83,07/23/2025 02:10:00,21.10,0.86,,,,
84,07/23/2025 02:15:00,21.02,0.86,,,,
85,07/23/2025 02:20:00,20.93,0.86,,,,
86,07/23/2025 02:25:00,20.85,1.30,,,,
87,07/23/2025 02:30:00,20.85,1.30,,,,
88,07/23/2025 02:35:00,20.76,0.86,,,,
89,07/23/2025 02:40:00,20.63,0.86,,,,
90,07/23/2025 02:45:00,20.63,0.86,,,,
91,07/23/2025 02:50:00,20.55,0.86,,,,
92,07/23/2025 02:55:00,20.42,0.86,,,,
93,07/23/2025 03:00:00,20.37,0.86,,,,
94,07/23/2025 03:05:00,20.29,0.86,,,,
95,07/23/2025 03:10:00,20.20,1.30,,,,
96,07/23/2025 03:15:00,20.16,0.86,,,,
97,07/23/2025 03:20:00,20.12,0.86,,,,
98,07/23/2025 03:25:00,19.99,0.86,,,,
99,07/23/2025 03:30:00,19.86,0.86,,,,
100,07/23/2025 03:35:00,19.77,0.86,,,,
101,07/23/2025 03:40:00,19.73,0.86,,,,
102,07/23/2025 03:45:00,19.65,0.86,,,,
103,07/23/2025 03:50:00,19.52,0.86,,,,
104,07/23/2025 03:55:00,19.47,0.86,,,,
105,07/23/2025 04:00:00,19.35,0.86,,,,
106,07/23/2025 04:05:00,19.30,0.86,,,,
107,07/23/2025 04:10:00,19.17,0.86,,,,
108,07/23/2025 04:15:00,19.00,0.86,,,,
109,07/23/2025 04:20:00,18.96,0.86,,,,
110,07/23/2025 04:25:00,18.92,0.86,,,,
111,07/23/2025 04:30:00,18.83,1.08,,,,
112,07/23/2025 04:35:00,18.74,1.08,,,,
113,07/23/2025 04:40:00,18.66,1.08,,,,
114,07/23/2025 04:45:00,18.70,1.08,,,,
115,07/23/2025 04:50:00,18.53,1.08,,,,
116,07/23/2025 04:55:00,18.44,1.08,,,,
117,07/23/2025 05:00:00,18.40,1.08,,,,
118,07/23/2025 05:05:00,18.36,1.08,,,,
119,07/23/2025 05:10:00,18.36,1.08,,,,
120,07/23/2025 05:15:00,18.27,1.08,,,,
121,07/23/2025 05:20:00,18.19,1.08,,,,
122,07/23/2025 05:25:00,18.14,1.08,,,,
123,07/23/2025 05:30:00,18.06,1.08,,,,
124,07/23/2025 05:35:00,17.97,1.08,,,,
125,07/23/2025 05:40:00,17.93,1.08,,,,
126,07/23/2025 05:45:00,17.89,1.08,,,,
127,07/23/2025 05:50:00,17.84,1.08,,,,
128,07/23/2025 05:55:00,17.80,1.08,,,,
129,07/23/2025 06:00:00,17.72,1.08,,,,
130,07/23/2025 06:05:00,17.72,1.08,,,,
131,07/23/2025 06:10:00,17.63,1.08,,,,
132,07/23/2025 06:15:00,17.59,1.08,,,,
133,07/23/2025 06:20:00,17.54,1.08,,,,
134,07/23/2025 06:25:00,17.46,1.08,,,,
135,07/23/2025 06:30:00,17.41,1.08,,,,
136,07/23/2025 06:35:00,17.33,1.08,,,,
137,07/23/2025 06:40:00,17.33,1.08,,,,
138,07/23/2025 06:45:00,17.24,1.08,,,,
139,07/23/2025 06:50:00,17.24,1.08,,,,
140,07/23/2025 06:55:00,17.20,1.08,,,,
141,07/23/2025 07:00:00,17.16,1.08,,,,
142,07/23/2025 07:05:00,17.11,1.30,,,,
143,07/23/2025 07:10:00,17.11,1.08,,,,
144,07/23/2025 07:15:00,17.03,1.08,,,,
145,07/23/2025 07:20:00,17.03,1.08,,,,
146,07/23/2025 07:25:00,16.99,1.08,,,,
147,07/23/2025 07:30:00,16.99,1.08,,,,
148,07/23/2025 07:35:00,16.94,1.08,,,,
149,07/23/2025 07:40:00,16.86,1.08,,,,
150,07/23/2025 07:45:00,16.86,1.08,,,,
151,07/23/2025 07:50:00,16.77,1.08,,,,
152,07/23/2025 07:55:00,16.81,1.08,,,,
153,07/23/2025 08:00:00,16.69,1.08,,,,
154,07/23/2025 08:05:00,16.64,1.08,,,,
155,07/23/2025 08:10:00,16.69,1.08,,,,
156,07/23/2025 08:15:00,16.56,1.08,,,,
157,07/23/2025 08:20:00,16.56,1.08,,,,
158,07/23/2025 08:25:00,16.56,1.08,,,,
159,07/23/2025 08:30:00,16.43,1.08,,,,
160,07/23/2025 08:35:00,16.43,1.08,,,,
161,07/23/2025 08:40:00,16.39,1.08,,,,
162,07/23/2025 08:45:00,16.34,1.08,,,,
163,07/23/2025 08:50:00,16.26,1.08,,,,
164,07/23/2025 08:55:00,16.21,1.08,,,,
