#,Date-Time (UTC Standard Time),Temperature   (°C),Light   (lux),Started,Button Down,Button Up,End of File
165,07/23/2025 09:00:00,16.21,1.08,,,,
166,07/23/2025 09:05:00,16.17,1.30,,,,
167,07/23/2025 09:10:00,16.08,1.73,,,,
168,07/23/2025 09:15:00,16.13,3.03,,,,
169,07/23/2025 09:20:00,16.08,6.29,,,,
170,07/23/2025 09:25:00,16.04,11.79,,,,
171,07/23/2025 09:30:00,16.00,22.75,,,,
172,07/23/2025 09:35:00,16.00,36.29,,,,
173,07/23/2025 09:40:00,15.96,47.62,,,,
174,07/23/2025 09:45:00,16.00,74.70,,,,
175,07/23/2025 09:50:00,15.96,109.24,,,,
176,07/23/2025 09:55:00,16.00,136.36,,,,
177,07/23/2025 10:00:00,15.96,189.84,,,,
178,07/23/2025 10:05:00,16.08,258.00,,,,
179,07/23/2025 10:10:00,16.13,492.96,,,,
180,07/23/2025 10:15:00,16.26,552.48,,,,
181,07/23/2025 10:20:00,16.34,239.52,,,,
182,07/23/2025 10:25:00,16.51,340.80,,,,
183,07/23/2025 10:30:00,16.64,371.20,,,,
184,07/23/2025 10:35:00,16.51,271.04,,,,
185,07/23/2025 10:40:00,16.26,211.36,,,,
186,07/23/2025 10:45:00,16.26,198.32,,,,
187,07/23/2025 10:50:00,16.26,339.68,,,,
188,07/23/2025 10:55:00,16.30,683.52,,,,
189,07/23/2025 11:00:00,16.39,388.00,,,,
190,07/23/2025 11:05:00,16.73,1604.48,,,,
191,07/23/2025 11:10:00,17.72,1600.00,,,,
192,07/23/2025 11:15:00,18.66,1335.68,,,,
193,07/23/2025 11:20:00,19.26,831.04,,,,
194,07/23/2025 11:25:00,19.77,1920.00,,,,
195,07/23/2025 11:30:00,20.25,1397.12,,,,
196,07/23/2025 11:35:00,20.46,882.56,,,,
197,07/23/2025 11:40:00,20.76,1084.80,,,,
198,07/23/2025 11:45:00,20.98,1652.48,,,,
199,07/23/2025 11:50:00,21.15,1840.00,,,,
200,07/23/2025 11:55:00,21.32,1539.84,,,,
201,07/23/2025 12:00:00,21.58,2485.76,,,,
202,07/23/2025 12:05:00,21.88,1942.40,,,,
203,07/23/2025 12:10:00,22.09,1681.92,,,,
204,07/23/2025 12:15:00,22.48,3159.04,,,,
205,07/23/2025 12:20:00,22.99,2232.32,,,,
206,07/23/2025 12:25:00,23.38,2527.36,,,,
207,07/23/2025 12:30:00,23.81,3002.88,,,,
208,07/23/2025 12:35:00,24.02,2049.92,,,,
209,07/23/2025 12:40:00,24.28,483.84,,,,
210,07/23/2025 12:45:00,24.71,2388.48,,,,
211,07/23/2025 12:50:00,25.05,7027.20,,,,
212,07/23/2025 12:55:00,29.56,18263.04,,,,
213,07/23/2025 13:00:00,31.49,15226.88,,,,
214,07/23/2025 13:05:00,30.97,7895.04,,,,
215,07/23/2025 13:10:00,30.07,7728.64,,,,
216,07/23/2025 13:15:00,29.17,8033.28,,,,
217,07/23/2025 13:20:00,28.18,7984.64,,,,
218,07/23/2025 13:25:00,28.14,7782.40,,,,
219,07/23/2025 13:30:00,29.94,92692.48,,,,
220,07/23/2025 13:35:00,33.03,7490.56,,,,
221,07/23/2025 13:40:00,38.52,47534.08,,,,
222,07/23/2025 13:45:00,38.05,10053.12,,,,
223,07/23/2025 13:50:00,38.56,7185.92,,,,
224,07/23/2025 13:55:00,37.92,3114.24,,,,
225,07/23/2025 14:00:00,37.71,49602.56,,,,
226,07/23/2025 14:05:00,36.25,57487.36,,,,
227,07/23/2025 14:10:00,42.21,62607.36,,,,
228,07/23/2025 14:15:00,46.12,13578.24,,,,
229,07/23/2025 14:20:00,41.57,5882.88,,,,
230,07/23/2025 14:25:00,38.78,5107.20,,,,
231,07/23/2025 14:30:00,36.12,985.92,,,,
232,07/23/2025 14:35:00,25.69,402.72,,,,
233,07/23/2025 14:40:00,24.19,515.04,,,,
234,07/23/2025 14:45:00,23.81,542.08,,,,
235,07/23/2025 14:50:00,23.68,540.32,,,,
236,07/23/2025 14:55:00,23.64,570.72,,,,
237,07/23/2025 15:00:00,23.55,571.52,,,,
238,07/23/2025 15:05:00,23.42,569.76,,,,
239,07/23/2025 15:10:00,23.38,560.16,,,,
240,07/23/2025 15:15:00,23.34,557.60,,,,
241,07/23/2025 15:20:00,23.29,566.24,,,,
242,07/23/2025 15:25:00,23.21,569.76,,,,
243,07/23/2025 15:30:00,23.12,590.56,,,,
244,07/23/2025 15:35:00,23.12,581.12,,,,
245,07/23/2025 15:40:00,23.08,581.92,,,,
246,07/23/2025 15:45:00,23.03,594.56,,,,
247,07/23/2025 15:50:00,22.95,595.36,,,,
248,07/23/2025 15:55:00,22.95,622.24,,,,
249,07/23/2025 16:00:00,22.91,633.60,,,,
250,07/23/2025 16:05:00,22.86,629.28,,,,
251,07/23/2025 16:10:00,22.86,651.84,,,,
252,07/23/2025 16:15:00,22.78,682.88,,,,
253,07/23/2025 16:20:00,22.82,685.44,,,,
254,07/23/2025 16:25:00,22.78,713.92,,,,
255,07/23/2025 16:30:00,22.82,689.92,,,,
256,07/23/2025 16:35:00,22.61,745.92,,,,
257,07/23/2025 16:40:00,22.56,776.32,,,,
258,07/23/2025 16:45:00,22.56,814.08,,,,
259,07/23/2025 16:50:00,22.56,930.24,,,,
260,07/23/2025 16:55:00,22.56,588.80,,,,
261,07/23/2025 17:00:00,22.56,924.16,,,,
262,07/23/2025 17:05:00,22.61,788.48,,,,
263,07/23/2025 17:10:00,22.56,874.88,,,,
264,07/23/2025 17:15:00,22.52,897.28,,,,
265,07/23/2025 17:20:00,22.56,939.20,,,,
266,07/23/2025 17:25:00,22.52,952.00,,,,
267,07/23/2025 17:30:00,22.52,992.96,,,,
268,07/23/2025 17:35:00,22.52,1035.52,,,,
269,07/23/2025 17:40:00,22.48,1078.08,,,,
270,07/23/2025 17:45:00,22.48,1063.04,,,,
271,07/23/2025 17:50:00,22.52,604.00,,,,
272,07/23/2025 17:55:00,22.52,1021.44,,,,
273,07/23/2025 18:00:00,22.48,322.40,,,,
274,07/23/2025 18:05:00,22.43,1108.16,,,,
275,07/23/2025 18:10:00,22.43,1016.32,,,,
276,07/23/2025 18:15:00,22.48,1002.56,,,,
277,07/23/2025 18:20:00,22.48,878.40,,,,
278,07/23/2025 18:25:00,22.48,640.48,,,,
279,07/23/2025 18:30:00,22.43,1175.04,,,,
280,07/23/2025 18:35:00,22.48,1120.32,,,,
281,07/23/2025 18:40:00,22.43,1081.28,,,,
282,07/23/2025 18:45:00,22.39,1156.80,,,,
283,07/23/2025 18:50:00,22.48,1199.36,,,,
284,07/23/2025 18:55:00,22.39,1056.32,,,,
285,07/23/2025 19:00:00,22.35,842.56,,,,
286,07/23/2025 19:05:00,22.39,355.52,,,,
287,07/23/2025 19:10:00,22.39,1013.76,,,,
288,07/23/2025 19:15:00,22.39,373.76,,,,
289,07/23/2025 19:20:00,22.39,704.32,,,,
290,07/23/2025 19:25:00,22.35,977.28,,,,
291,07/23/2025 19:30:00,22.35,442.56,,,,
292,07/23/2025 19:35:00,22.39,1236.80,,,,
293,07/23/2025 19:40:00,22.39,558.56,,,,
294,07/23/2025 19:45:00,22.39,447.84,,,,
295,07/23/2025 19:50:00,22.35,463.52,,,,
296,07/23/2025 19:55:00,22.39,548.96,,,,
297,07/23/2025 20:00:00,22.43,1431.04,,,,
298,07/23/2025 20:05:00,22.48,1104.96,,,,
299,07/23/2025 20:10:00,22.52,1391.36,,,,
300,07/23/2025 20:15:00,22.56,1307.84,,,,
301,07/23/2025 20:20:00,22.56,1306.24,,,,
302,07/23/2025 20:25:00,22.61,1321.60,,,,
303,07/23/2025 20:30:00,22.56,1202.88,,,,
304,07/23/2025 20:35:00,22.61,1203.84,,,,
305,07/23/2025 20:40:00,22.65,1193.28,,,,
306,07/23/2025 20:45:00,22.65,1127.36,,,,
307,07/23/2025 20:50:00,22.65,1079.68,,,,
308,07/23/2025 20:55:00,22.69,1101.44,,,,
309,07/23/2025 21:00:00,22.65,1077.12,,,,
310,07/23/2025 21:05:00,22.61,993.60,,,,
311,07/23/2025 21:10:00,22.69,994.56,,,,
312,07/23/2025 21:15:00,22.61,966.08,,,,
313,07/23/2025 21:20:00,22.65,944.96,,,,
314,07/23/2025 21:25:00,22.69,951.04,,,,
315,07/23/2025 21:30:00,22.65,924.16,,,,
316,07/23/2025 21:35:00,22.69,939.20,,,,
317,07/23/2025 21:40:00,22.73,847.04,,,,
318,07/23/2025 21:45:00,22.78,809.60,,,,
319,07/23/2025 21:50:00,22.78,725.12,,,,
320,07/23/2025 21:55:00,22.82,690.24,,,,
321,07/23/2025 22:00:00,22.91,676.80,,,,
322,07/23/2025 22:05:00,22.86,642.24,,,,
323,07/23/2025 22:10:00,22.99,589.28,,,,
324,07/23/2025 22:15:00,23.03,514.24,,,,
325,07/23/2025 22:20:00,23.08,479.04,,,,
326,07/23/2025 22:25:00,23.12,407.04,,,,
327,07/23/2025 22:30:00,23.12,368.64,,,,
328,07/23/2025 22:35:00,23.55,287.52,,,,
329,07/23/2025 22:40:00,23.59,250.16,,,,
330,07/23/2025 22:45:00,23.59,246.72,,,,
331,07/23/2025 22:50:00,23.64,223.92,,,,
332,07/23/2025 22:55:00,23.59,184.72,,,,
333,07/23/2025 23:00:00,23.55,163.76,,,,
334,07/23/2025 23:05:00,23.46,162.96,,,,
335,07/23/2025 23:10:00,23.42,115.00,,,,
336,07/23/2025 23:15:00,23.42,108.04,,,,
337,07/23/2025 23:20:00,23.34,80.56,,,,
338,07/23/2025 23:25:00,23.34,71.38,,,,
339,07/23/2025 23:30:00,23.34,48.76,,,,
340,07/23/2025 23:35:00,23.29,42.68,,,,
341,07/23/2025 23:40:00,23.25,36.13,,,,
342,07/23/2025 23:45:00,23.25,29.59,,,,
343,07/23/2025 23:50:00,23.21,23.70,,,,
344,07/23/2025 23:55:00,23.21,16.51,,,,
345,07/24/2025 00:00:00,23.16,13.04,,,,
346,07/24/2025 00:05:00,23.12,9.54,,,,
347,07/24/2025 00:10:00,23.03,6.29,,,,
348,07/24/2025 00:15:00,22.99,3.90,,,,
349,07/24/2025 00:20:00,22.91,2.17,,,,
350,07/24/2025 00:25:00,22.82,1.08,,,,
351,07/24/2025 00:30:00,22.78,0.43,,,,
352,07/24/2025 00:35:00,22.73,0.00,,,,
353,07/24/2025 00:40:00,22.69,0.00,,,,
354,07/24/2025 00:45:00,22.65,0.00,,,,
355,07/24/2025 00:50:00,22.56,0.00,,,,
356,07/24/2025 00:55:00,22.61,0.00,,,,
357,07/24/2025 01:00:00,22.52,0.00,,,,
358,07/24/2025 01:05:00,22.52,0.00,,,,
359,07/24/2025 01:10:00,22.56,0.00,,,,
360,07/24/2025 01:15:00,22.52,0.00,,,,
361,07/24/2025 01:20:00,22.56,0.00,,,,
362,07/24/2025 01:25:00,22.56,0.00,,,,
363,07/24/2025 01:30:00,22.61,0.00,,,,
364,07/24/2025 01:35:00,22.65,0.00,,,,
365,07/24/2025 01:40:00,22.69,0.00,,,,
366,07/24/2025 01:45:00,22.61,0.00,,,,
367,07/24/2025 01:50:00,22.69,0.00,,,,
368,07/24/2025 01:55:00,22.73,0.00,,,,
369,07/24/2025 02:00:00,22.73,0.00,,,,
370,07/24/2025 02:05:00,22.73,0.00,,,,
371,07/24/2025 02:10:00,22.78,0.00,,,,
372,07/24/2025 02:15:00,22.78,0.00,,,,
373,07/24/2025 02:20:00,22.82,0.00,,,,
374,07/24/2025 02:25:00,22.73,0.00,,,,
375,07/24/2025 02:30:00,22.82,0.00,,,,
376,07/24/2025 02:35:00,22.82,0.00,,,,
377,07/24/2025 02:40:00,22.82,0.00,,,,
378,07/24/2025 02:45:00,22.82,0.00,,,,
379,07/24/2025 02:50:00,22.82,0.00,,,,
380,07/24/2025 02:55:00,22.86,0.00,,,,
381,07/24/2025 03:00:00,22.82,0.00,,,,
382,07/24/2025 03:05:00,22.82,0.00,,,,
383,07/24/2025 03:10:00,22.86,0.00,,,,
384,07/24/2025 03:15:00,22.86,0.00,,,,
385,07/24/2025 03:20:00,22.86,0.00,,,,
386,07/24/2025 03:25:00,22.86,0.00,,,,
387,07/24/2025 03:30:00,22.82,0.00,,,,
388,07/24/2025 03:35:00,22.86,0.00,,,,
389,07/24/2025 03:40:00,22.86,0.00,,,,
390,07/24/2025 03:45:00,22.86,0.00,,,,
391,07/24/2025 03:50:00,22.91,0.00,,,,
392,07/24/2025 03:55:00,22.91,0.00,,,,
393,07/24/2025 04:00:00,22.86,0.00,,,,
394,07/24/2025 04:05:00,22.95,0.00,,,,
395,07/24/2025 04:10:00,22.86,0.00,,,,
396,07/24/2025 04:15:00,22.86,0.00,,,,
397,07/24/2025 04:20:00,22.86,0.00,,,,
398,07/24/2025 04:25:00,22.82,0.00,,,,
399,07/24/2025 04:30:00,22.86,0.00,,,,
400,07/24/2025 04:35:00,22.91,0.00,,,,
401,07/24/2025 04:40:00,22.95,0.00,,,,
402,07/24/2025 04:45:00,22.91,0.00,,,,
403,07/24/2025 04:50:00,22.91,0.00,,,,
404,07/24/2025 04:55:00,22.86,0.00,,,,
405,07/24/2025 05:00:00,22.86,0.00,,,,
406,07/24/2025 05:05:00,22.86,0.00,,,,
407,07/24/2025 05:10:00,22.91,0.00,,,,
408,07/24/2025 05:15:00,22.86,0.00,,,,
409,07/24/2025 05:20:00,22.91,0.00,,,,
410,07/24/2025 05:25:00,22.86,0.00,,,,
411,07/24/2025 05:30:00,22.91,0.00,,,,
412,07/24/2025 05:35:00,22.86,0.00,,,,
413,07/24/2025 05:40:00,22.86,0.00,,,,
414,07/24/2025 05:45:00,22.91,0.00,,,,
415,07/24/2025 05:50:00,22.91,0.00,,,,
416,07/24/2025 05:55:00,22.86,0.00,,,,
417,07/24/2025 06:00:00,22.82,0.00,,,,
418,07/24/2025 06:05:00,22.86,0.00,,,,
419,07/24/2025 06:10:00,22.86,0.00,,,,
420,07/24/2025 06:15:00,22.86,0.00,,,,
421,07/24/2025 06:20:00,22.86,0.00,,,,
422,07/24/2025 06:25:00,22.86,0.00,,,,
423,07/24/2025 06:30:00,22.86,0.00,,,,
424,07/24/2025 06:35:00,22.91,0.00,,,,
425,07/24/2025 06:40:00,22.86,0.00,,,,
426,07/24/2025 06:45:00,22.86,0.00,,,,
427,07/24/2025 06:50:00,22.86,0.00,,,,
428,07/24/2025 06:55:00,22.86,0.00,,,,
429,07/24/2025 07:00:00,22.82,0.00,,,,
430,07/24/2025 07:05:00,22.82,0.00,,,,
431,07/24/2025 07:10:00,22.82,0.00,,,,
432,07/24/2025 07:15:00,22.86,0.00,,,,
433,07/24/2025 07:20:00,22.86,0.00,,,,
434,07/24/2025 07:25:00,22.86,0.00,,,,
435,07/24/2025 07:30:00,22.91,0.00,,,,
436,07/24/2025 07:35:00,22.86,0.00,,,,
437,07/24/2025 07:40:00,22.86,0.00,,,,
438,07/24/2025 07:45:00,22.91,0.00,,,,
439,07/24/2025 07:50:00,22.91,0.00,,,,
440,07/24/2025 07:55:00,22.91,0.00,,,,
441,07/24/2025 08:00:00,22.95,0.00,,,,
442,07/24/2025 08:05:00,22.95,0.00,,,,
443,07/24/2025 08:10:00,22.95,0.00,,,,
444,07/24/2025 08:15:00,22.99,0.00,,,,
445,07/24/2025 08:20:00,22.99,0.00,,,,
446,07/24/2025 08:25:00,22.95,0.00,,,,
447,07/24/2025 08:30:00,22.95,0.00,,,,
448,07/24/2025 08:35:00,22.91,0.00,,,,
449,07/24/2025 08:40:00,22.95,0.00,,,,
450,07/24/2025 08:45:00,22.95,0.00,,,,
451,07/24/2025 08:50:00,22.95,0.00,,,,
452,07/24/2025 08:55:00,22.95,0.00,,,,
453,07/24/2025 09:00:00,22.95,0.00,,,,
454,07/24/2025 09:05:00,22.95,0.00,,,,
455,07/24/2025 09:10:00,22.99,0.00,,,,
456,07/24/2025 09:15:00,22.95,0.00,,,,
457,07/24/2025 09:20:00,22.95,0.00,,,,
458,07/24/2025 09:25:00,22.99,0.00,,,,
459,07/24/2025 09:30:00,22.95,1.08,,,,
460,07/24/2025 09:35:00,22.95,2.60,,,,
461,07/24/2025 09:40:00,22.95,5.42,,,,
462,07/24/2025 09:45:00,22.91,7.81,,,,
463,07/24/2025 09:50:00,22.95,11.52,,,,
464,07/24/2025 09:55:00,22.91,16.76,,,,
465,07/24/2025 10:00:00,22.99,21.97,,,,
466,07/24/2025 10:05:00,22.95,29.37,,,,
467,07/24/2025 10:10:00,22.95,37.43,,,,
468,07/24/2025 10:15:00,22.95,49.64,,,,
469,07/24/2025 10:20:00,22.91,60.54,,,,
470,07/24/2025 10:25:00,22.91,71.00,,,,
471,07/24/2025 10:30:00,22.91,79.26,,,,
472,07/24/2025 10:35:00,22.86,91.44,,,,
473,07/24/2025 10:40:00,22.91,104.56,,,,
474,07/24/2025 10:45:00,22.86,114.12,,,,
475,07/24/2025 10:50:00,22.91,121.08,,,,
476,07/24/2025 10:55:00,22.91,133.32,,,,
477,07/24/2025 11:00:00,22.86,143.76,,,,
478,07/24/2025 11:05:00,22.91,155.88,,,,
479,07/24/2025 11:10:00,22.95,146.36,,,,
480,07/24/2025 11:15:00,22.86,163.76,,,,
481,07/24/2025 11:20:00,22.91,186.48,,,,
482,07/24/2025 11:25:00,22.86,177.76,,,,
483,07/24/2025 11:30:00,22.86,175.92,,,,
484,07/24/2025 11:35:00,22.95,148.96,,,,
485,07/24/2025 11:40:00,22.91,167.28,,,,
486,07/24/2025 11:45:00,22.91,208.32,,,,
487,07/24/2025 11:50:00,22.86,253.68,,,,
488,07/24/2025 11:55:00,22.86,372.16,,,,
489,07/24/2025 12:00:00,22.91,341.76,,,,
490,07/24/2025 12:05:00,22.86,360.80,,,,
491,07/24/2025 12:10:00,22.86,366.08,,,,
492,07/24/2025 12:15:00,22.86,370.40,,,,
493,07/24/2025 12:20:00,22.91,375.52,,,,
494,07/24/2025 12:25:00,22.82,379.84,,,,
495,07/24/2025 12:30:00,22.78,373.76,,,,
496,07/24/2025 12:35:00,22.82,379.04,,,,
497,07/24/2025 12:40:00,22.82,358.24,,,,
498,07/24/2025 12:45:00,22.82,361.60,,,,
499,07/24/2025 12:50:00,22.86,382.56,,,,
500,07/24/2025 12:55:00,22.82,349.44,,,,
501,07/24/2025 13:00:00,22.78,364.32,,,,
502,07/24/2025 13:05:00,22.78,364.32,,,,
503,07/24/2025 13:10:00,22.73,350.40,,,,
504,07/24/2025 13:15:00,22.73,183.84,,,,
505,07/24/2025 13:20:00,22.78,318.08,,,,
506,07/24/2025 13:25:00,22.73,282.48,,,,
507,07/24/2025 13:30:00,22.82,394.88,,,,
508,07/24/2025 13:35:00,22.82,329.28,,,,
509,07/24/2025 13:40:00,22.82,315.52,,,,
510,07/24/2025 13:45:00,22.86,427.84,,,,
511,07/24/2025 13:50:00,22.78,394.88,,,,
